epoch,train_acc,test_acc
0,0.051220,0.065341
1,0.117073,0.099432
2,0.248780,0.230114
3,0.276423,0.244318
4,0.278049,0.258523
5,0.273171,0.255682
6,0.273171,0.247159
7,0.267480,0.252841
8,0.270732,0.252841
9,0.270732,0.252841
10,0.270732,0.255682
11,0.273984,0.258523
12,0.272358,0.258523
13,0.272358,0.258523
14,0.274797,0.255682
15,0.272358,0.255682
16,0.270732,0.255682
17,0.273171,0.258523
18,0.272358,0.258523
19,0.271545,0.258523
20,0.270732,0.258523
21,0.275610,0.258523
22,0.275610,0.258523
23,0.276423,0.258523
24,0.275610,0.258523
25,0.274797,0.255682
26,0.272358,0.255682
27,0.273171,0.255682
28,0.278862,0.255682
29,0.281301,0.255682
30,0.286179,0.258523
31,0.289431,0.264205
32,0.293496,0.264205
33,0.293496,0.264205
34,0.295935,0.264205
35,0.299187,0.255682
36,0.298374,0.250000
37,0.296748,0.252841
38,0.298374,0.247159
39,0.298374,0.264205
40,0.296748,0.258523
41,0.300000,0.261364
42,0.300813,0.261364
43,0.299187,0.261364
44,0.299187,0.258523
45,0.298374,0.252841
46,0.300000,0.255682
47,0.296748,0.252841
48,0.295122,0.250000
49,0.296748,0.255682
50,0.295122,0.252841
51,0.295935,0.252841
52,0.294309,0.258523
53,0.296748,0.261364
54,0.296748,0.261364
55,0.296748,0.261364
56,0.293496,0.258523
57,0.293496,0.261364
58,0.291057,0.258523
59,0.293496,0.264205
60,0.291870,0.261364
61,0.293496,0.267045
62,0.297561,0.264205
63,0.295122,0.261364
64,0.296748,0.264205
65,0.295122,0.261364
66,0.296748,0.261364
67,0.300000,0.258523
68,0.301626,0.261364
69,0.303252,0.264205
70,0.302439,0.264205
71,0.303252,0.264205
72,0.302439,0.264205
73,0.302439,0.264205
74,0.301626,0.264205
75,0.303252,0.264205
76,0.303252,0.264205
77,0.301626,0.261364
78,0.303252,0.261364
79,0.300813,0.261364
80,0.302439,0.261364
81,0.301626,0.261364
82,0.299187,0.261364
83,0.299187,0.261364
84,0.300000,0.261364
85,0.300000,0.261364
86,0.300000,0.261364
87,0.301626,0.264205
88,0.300000,0.264205
89,0.299187,0.264205
90,0.297561,0.264205
91,0.295122,0.264205
92,0.295935,0.264205
93,0.295122,0.267045
94,0.298374,0.264205
95,0.297561,0.264205
96,0.297561,0.264205
97,0.297561,0.264205
98,0.299187,0.264205
99,0.301626,0.264205
100,0.299187,0.264205
101,0.300813,0.264205
102,0.301626,0.264205
103,0.296748,0.264205
104,0.297561,0.269886
105,0.295935,0.267045
106,0.296748,0.267045
107,0.296748,0.269886
108,0.298374,0.267045
109,0.297561,0.269886
110,0.296748,0.269886
111,0.298374,0.269886
112,0.297561,0.269886
113,0.295935,0.269886
114,0.296748,0.269886
115,0.297561,0.269886
116,0.296748,0.269886
117,0.296748,0.269886
118,0.297561,0.269886
119,0.296748,0.269886
120,0.296748,0.269886
121,0.297561,0.269886
122,0.297561,0.269886
123,0.300000,0.269886
124,0.297561,0.269886
125,0.296748,0.269886
126,0.295935,0.272727
127,0.297561,0.269886
128,0.298374,0.272727
129,0.299187,0.272727
130,0.298374,0.269886
131,0.295935,0.272727
132,0.295122,0.278409
133,0.295935,0.275568
134,0.295122,0.275568
135,0.295935,0.275568
136,0.298374,0.275568
137,0.296748,0.275568
138,0.297561,0.275568
139,0.296748,0.275568
140,0.295935,0.278409
141,0.296748,0.278409
142,0.298374,0.275568
143,0.298374,0.275568
144,0.299187,0.272727
145,0.294309,0.278409
146,0.295122,0.278409
147,0.293496,0.278409
148,0.295935,0.278409
149,0.295122,0.278409
150,0.296748,0.275568
151,0.297561,0.278409
152,0.297561,0.272727
153,0.295935,0.278409
154,0.295122,0.278409
155,0.295935,0.278409
156,0.294309,0.278409
157,0.298374,0.275568
158,0.296748,0.278409
159,0.295122,0.278409
160,0.295935,0.278409
161,0.297561,0.278409
162,0.295935,0.278409
163,0.295935,0.275568
164,0.295935,0.275568
165,0.295935,0.278409
166,0.295122,0.278409
167,0.296748,0.275568
168,0.295122,0.278409
169,0.295122,0.278409
170,0.293496,0.275568
171,0.292683,0.275568
172,0.295935,0.275568
173,0.297561,0.275568
174,0.295935,0.275568
175,0.295935,0.275568
176,0.296748,0.275568
177,0.295122,0.275568
178,0.295122,0.278409
179,0.295122,0.281250
180,0.295935,0.275568
181,0.297561,0.275568
182,0.295935,0.275568
183,0.295935,0.275568
184,0.295935,0.278409
185,0.295935,0.275568
186,0.292683,0.278409
187,0.294309,0.278409
188,0.295122,0.275568
189,0.295935,0.275568
190,0.297561,0.275568
191,0.295935,0.275568
192,0.295122,0.278409
193,0.295935,0.275568
194,0.291870,0.278409
195,0.295122,0.281250
196,0.295935,0.275568
197,0.295935,0.275568
198,0.294309,0.275568
199,0.296748,0.278409
200,0.293496,0.275568
201,0.295935,0.275568
202,0.295935,0.278409
203,0.294309,0.278409
204,0.291870,0.275568
205,0.293496,0.278409
206,0.295935,0.278409
207,0.291870,0.278409
208,0.293496,0.275568
209,0.297561,0.275568
210,0.293496,0.275568
211,0.295122,0.272727
212,0.294309,0.278409
213,0.293496,0.275568
214,0.295935,0.275568
215,0.295122,0.275568
216,0.296748,0.281250
217,0.293496,0.281250
218,0.295122,0.281250
219,0.296748,0.278409
220,0.295935,0.278409
221,0.293496,0.278409
222,0.291870,0.281250
223,0.295122,0.281250
224,0.294309,0.281250
225,0.291870,0.278409
226,0.295122,0.278409
227,0.291870,0.278409
228,0.292683,0.278409
229,0.295122,0.281250
230,0.295122,0.281250
231,0.295935,0.281250
232,0.294309,0.284091
233,0.294309,0.281250
234,0.294309,0.281250
235,0.293496,0.281250
236,0.295935,0.281250
237,0.293496,0.281250
238,0.292683,0.281250
239,0.294309,0.278409
240,0.294309,0.281250
241,0.293496,0.281250
242,0.293496,0.281250
243,0.293496,0.281250
244,0.294309,0.281250
245,0.292683,0.284091
246,0.293496,0.281250
247,0.294309,0.284091
248,0.293496,0.281250
249,0.294309,0.281250
250,0.294309,0.281250
251,0.294309,0.281250
252,0.295935,0.281250
253,0.295122,0.281250
254,0.295122,0.281250
255,0.294309,0.281250
256,0.293496,0.281250
257,0.292683,0.281250
258,0.296748,0.284091
259,0.295122,0.281250
260,0.294309,0.281250
261,0.295122,0.281250
262,0.295935,0.284091
263,0.293496,0.281250
264,0.292683,0.281250
265,0.294309,0.281250
266,0.294309,0.281250
267,0.294309,0.281250
268,0.294309,0.281250
269,0.295122,0.281250
270,0.295122,0.281250
271,0.295122,0.281250
272,0.292683,0.278409
273,0.295935,0.281250
274,0.294309,0.284091
275,0.293496,0.281250
276,0.295122,0.281250
277,0.294309,0.281250
278,0.294309,0.281250
279,0.294309,0.281250
280,0.292683,0.281250
281,0.293496,0.281250
282,0.293496,0.281250
283,0.295122,0.281250
284,0.295122,0.281250
285,0.295122,0.281250
286,0.294309,0.281250
287,0.294309,0.284091
288,0.294309,0.281250
289,0.293496,0.281250
290,0.295122,0.281250
291,0.295122,0.281250
292,0.293496,0.281250
293,0.295122,0.281250
294,0.292683,0.284091
295,0.292683,0.278409
296,0.292683,0.281250
297,0.295122,0.281250
298,0.293496,0.281250
299,0.295935,0.281250
300,0.295935,0.281250
301,0.294309,0.281250
302,0.294309,0.281250
303,0.293496,0.278409
304,0.294309,0.284091
305,0.291870,0.278409
306,0.294309,0.284091
307,0.293496,0.284091
308,0.295122,0.281250
309,0.292683,0.281250
310,0.294309,0.278409
311,0.295935,0.281250
312,0.293496,0.281250
313,0.295122,0.281250
314,0.296748,0.281250
315,0.295122,0.281250
316,0.295935,0.281250
317,0.294309,0.278409
318,0.295122,0.278409
319,0.292683,0.278409
320,0.294309,0.281250
321,0.293496,0.278409
322,0.293496,0.281250
323,0.295122,0.281250
324,0.293496,0.281250
325,0.294309,0.281250
326,0.293496,0.281250
327,0.292683,0.281250
328,0.293496,0.281250
329,0.294309,0.281250
330,0.295122,0.281250
331,0.294309,0.281250
332,0.293496,0.281250
333,0.294309,0.281250
334,0.294309,0.278409
335,0.292683,0.278409
336,0.295122,0.281250
337,0.295122,0.281250
338,0.294309,0.281250
339,0.292683,0.278409
340,0.293496,0.278409
341,0.294309,0.278409
342,0.294309,0.278409
343,0.294309,0.278409
344,0.293496,0.278409
345,0.293496,0.281250
346,0.294309,0.281250
347,0.294309,0.281250
348,0.295122,0.278409
