epoch,train_acc,test_acc
0,0.051220,0.065341
1,0.198374,0.201705
2,0.213821,0.201705
3,0.220325,0.215909
4,0.259350,0.250000
5,0.297561,0.281250
6,0.344715,0.338068
7,0.365854,0.349432
8,0.365041,0.301136
9,0.399187,0.397727
10,0.407317,0.372159
11,0.374797,0.352273
12,0.379675,0.352273
13,0.373171,0.343750
14,0.386992,0.357955
15,0.413008,0.355114
16,0.411382,0.389205
17,0.420325,0.380682
18,0.426016,0.406250
19,0.417073,0.414773
20,0.418699,0.406250
21,0.406504,0.369318
22,0.392683,0.377841
23,0.410569,0.386364
24,0.413821,0.355114
25,0.407317,0.332386
26,0.419512,0.369318
27,0.415447,0.360795
28,0.376423,0.343750
29,0.404878,0.355114
30,0.444715,0.409091
31,0.423577,0.411932
32,0.421138,0.389205
33,0.425203,0.357955
34,0.428455,0.363636
35,0.416260,0.369318
36,0.429268,0.380682
37,0.435772,0.360795
38,0.450407,0.389205
39,0.443902,0.409091
40,0.440650,0.400568
41,0.455285,0.397727
42,0.465854,0.409091
43,0.434959,0.372159
44,0.452846,0.383523
45,0.433333,0.380682
46,0.440650,0.383523
47,0.467480,0.380682
48,0.421138,0.375000
49,0.436585,0.369318
50,0.464228,0.400568
51,0.455285,0.406250
52,0.440650,0.360795
53,0.384553,0.335227
54,0.400813,0.346591
55,0.423577,0.352273
56,0.412195,0.357955
57,0.429268,0.355114
58,0.410569,0.343750
59,0.432520,0.377841
60,0.444715,0.392045
61,0.459350,0.414773
62,0.447967,0.394886
63,0.446341,0.380682
64,0.460976,0.397727
65,0.469919,0.389205
66,0.472358,0.392045
67,0.473171,0.377841
68,0.474797,0.394886
69,0.486179,0.420455
70,0.487805,0.420455
71,0.487805,0.409091
72,0.496748,0.423295
73,0.486179,0.414773
74,0.469106,0.406250
75,0.474797,0.420455
76,0.483740,0.434659
77,0.485366,0.414773
78,0.475610,0.414773
79,0.491870,0.411932
80,0.485366,0.377841
81,0.466667,0.363636
82,0.481301,0.392045
83,0.477236,0.409091
84,0.490244,0.417614
85,0.509756,0.414773
86,0.508943,0.434659
87,0.514634,0.400568
88,0.496748,0.403409
89,0.495935,0.403409
90,0.491870,0.403409
91,0.506504,0.403409
92,0.482927,0.392045
93,0.496748,0.406250
94,0.495122,0.420455
95,0.504065,0.409091
96,0.493496,0.400568
97,0.500813,0.426136
98,0.510569,0.428977
99,0.486179,0.420455
100,0.486179,0.426136
101,0.503252,0.392045
102,0.491870,0.380682
103,0.471545,0.369318
104,0.492683,0.375000
105,0.474797,0.389205
106,0.508130,0.411932
107,0.480488,0.389205
108,0.485366,0.403409
109,0.502439,0.400568
110,0.500813,0.403409
111,0.495122,0.394886
112,0.502439,0.383523
113,0.496748,0.380682
114,0.478862,0.397727
115,0.502439,0.417614
116,0.490244,0.403409
117,0.504065,0.423295
118,0.498374,0.403409
119,0.508130,0.417614
120,0.507317,0.437500
121,0.500000,0.420455
122,0.499187,0.417614
123,0.492683,0.400568
124,0.500000,0.397727
125,0.513821,0.428977
126,0.469919,0.392045
127,0.483740,0.400568
128,0.486992,0.406250
129,0.510569,0.434659
130,0.508130,0.400568
131,0.501626,0.420455
132,0.513008,0.463068
133,0.506504,0.451705
134,0.506504,0.437500
135,0.486992,0.417614
136,0.485366,0.423295
137,0.464228,0.406250
138,0.517073,0.423295
139,0.514634,0.443182
140,0.490244,0.403409
141,0.512195,0.443182
142,0.483740,0.406250
143,0.466667,0.411932
144,0.501626,0.423295
145,0.482114,0.392045
146,0.486179,0.394886
