epoch,train_acc,test_acc,train_pos_prob
0,0.064322,0.075000,0.161403
1,0.599485,0.594000,0.711801
2,0.635506,0.622000,0.773869
3,0.659234,0.648000,0.794857
4,0.667524,0.643000,0.799116
5,0.687822,0.660000,0.832626
6,0.689823,0.667000,0.840711
7,0.677244,0.642000,0.832852
8,0.699543,0.665000,0.845234
9,0.704688,0.670000,0.851240
10,0.707547,0.672000,0.851558
11,0.687250,0.650000,0.854486
12,0.708691,0.694000,0.849693
13,0.700686,0.671000,0.855457
14,0.710978,0.670000,0.868012
15,0.694397,0.661000,0.856700
16,0.694397,0.653000,0.846458
17,0.694969,0.658000,0.855805
18,0.697827,0.651000,0.869902
19,0.719268,0.676000,0.875259
20,0.727559,0.687000,0.876513
21,0.710978,0.674000,0.873591
22,0.726701,0.688000,0.880402
23,0.690109,0.655000,0.869624
24,0.715552,0.674000,0.871638
25,0.695254,0.662000,0.848448
26,0.732704,0.683000,0.888562
27,0.729274,0.691000,0.877033
28,0.714408,0.676000,0.867776
29,0.732133,0.685000,0.881340
30,0.724700,0.686000,0.883026
31,0.720983,0.672000,0.886406
32,0.736421,0.688000,0.900637
33,0.734134,0.696000,0.890097
34,0.712693,0.667000,0.879187
35,0.714694,0.663000,0.881644
36,0.736421,0.679000,0.894175
37,0.710978,0.648000,0.884599
38,0.712979,0.667000,0.849442
39,0.726701,0.682000,0.891911
40,0.731275,0.683000,0.897687
41,0.727559,0.664000,0.884441
42,0.712979,0.651000,0.873636
43,0.732133,0.675000,0.879884
44,0.739280,0.676000,0.886448
45,0.726129,0.676000,0.889618
46,0.739565,0.701000,0.898251
47,0.735277,0.678000,0.902342
48,0.725843,0.667000,0.879764
49,0.736421,0.684000,0.893683
50,0.714980,0.665000,0.883677
51,0.727559,0.677000,0.876856
52,0.739851,0.692000,0.898866
53,0.724414,0.668000,0.881192
54,0.737564,0.683000,0.903310
55,0.724700,0.676000,0.889577
56,0.739565,0.673000,0.909675
57,0.734134,0.680000,0.902931
58,0.735277,0.671000,0.889946
59,0.738708,0.679000,0.912935
60,0.754717,0.683000,0.911973
61,0.754145,0.691000,0.909900
62,0.736993,0.672000,0.911917
63,0.746998,0.695000,0.909729
64,0.706404,0.657000,0.873044
65,0.746712,0.682000,0.912215
66,0.740709,0.685000,0.909702
67,0.744140,0.682000,0.917147
68,0.743568,0.685000,0.907731
69,0.750143,0.685000,0.914606
70,0.746141,0.682000,0.917921
71,0.737564,0.683000,0.914502
72,0.742424,0.673000,0.915044
73,0.746712,0.680000,0.911455
74,0.754145,0.689000,0.921767
75,0.749571,0.678000,0.913307
76,0.737564,0.676000,0.916462
77,0.757862,0.681000,0.927262
78,0.732704,0.657000,0.917774
79,0.756432,0.705000,0.927196
80,0.748999,0.690000,0.930188
81,0.749285,0.687000,0.925878
82,0.749857,0.692000,0.930542
83,0.739280,0.674000,0.928393
84,0.726415,0.641000,0.898647
85,0.720698,0.657000,0.916343
86,0.754145,0.698000,0.925820
87,0.750429,0.680000,0.938441
88,0.746427,0.675000,0.933165
89,0.747570,0.689000,0.933891
90,0.745855,0.685000,0.936210
91,0.745283,0.687000,0.931081
92,0.755289,0.687000,0.941327
93,0.757862,0.689000,0.943262
94,0.751001,0.676000,0.940365
95,0.750715,0.685000,0.936616
96,0.764437,0.697000,0.948997
97,0.756432,0.680000,0.947068
98,0.755289,0.676000,0.945976
99,0.737564,0.654000,0.940912
100,0.756718,0.681000,0.951530
101,0.763579,0.685000,0.958056
102,0.756432,0.681000,0.950081
103,0.766152,0.686000,0.949412
104,0.760720,0.681000,0.952741
105,0.763007,0.682000,0.958527
106,0.760149,0.690000,0.958024
