epoch,train_acc,test_acc,train_pos_prob
0,0.064322,0.075000,0.161403
1,0.457404,0.449000,0.598191
2,0.407662,0.408000,0.656391
3,0.411378,0.408000,0.673238
4,0.408805,0.410000,0.686426
5,0.400229,0.403000,0.678014
6,0.399657,0.405000,0.678952
7,0.413093,0.410000,0.688996
8,0.369926,0.377000,0.653098
9,0.413665,0.415000,0.678378
10,0.408805,0.410000,0.673596
11,0.381933,0.391000,0.634392
12,0.409663,0.409000,0.663104
13,0.374786,0.372000,0.599197
14,0.364780,0.376000,0.612439
15,0.342481,0.341000,0.606921
16,0.378502,0.366000,0.589415
17,0.377358,0.372000,0.613347
18,0.370497,0.370000,0.616624
19,0.356204,0.359000,0.583857
20,0.373356,0.374000,0.601239
21,0.357061,0.361000,0.599370
22,0.337050,0.341000,0.582724
23,0.152945,0.152000,0.382903
24,0.334763,0.336000,0.576322
25,0.337621,0.340000,0.577524
26,0.336192,0.340000,0.578425
27,0.381933,0.380000,0.593801
28,0.338193,0.339000,0.570312
29,0.342481,0.342000,0.586238
30,0.351915,0.349000,0.585036
31,0.359634,0.362000,0.555889
32,0.342196,0.344000,0.566707
33,0.363065,0.361000,0.557091
34,0.356204,0.353000,0.548978
35,0.359348,0.357000,0.589243
36,0.338193,0.343000,0.566406
37,0.349057,0.345000,0.547476
38,0.359062,0.360000,0.572716
39,0.350772,0.351000,0.580829
40,0.345912,0.346000,0.585938
41,0.336764,0.330000,0.550481
42,0.349342,0.349000,0.586238
43,0.339623,0.341000,0.579928
44,0.352773,0.348000,0.588341
45,0.340480,0.339000,0.580829
46,0.356489,0.358000,0.592248
47,0.339337,0.341000,0.576623
48,0.340194,0.345000,0.575120
49,0.344483,0.341000,0.579627
50,0.337907,0.341000,0.578726
51,0.341052,0.340000,0.579627
52,0.355060,0.357000,0.592849
53,0.345054,0.348000,0.567308
54,0.332190,0.331000,0.571815
55,0.350200,0.349000,0.588341
56,0.346770,0.346000,0.582632
57,0.353631,0.352000,0.590745
58,0.352773,0.348000,0.588341
59,0.355060,0.347000,0.594952
60,0.334477,0.331000,0.565505
61,0.349057,0.344000,0.574219
62,0.345912,0.348000,0.570613
63,0.355632,0.350000,0.578125
64,0.361349,0.364000,0.581731
65,0.332476,0.335000,0.574219
66,0.335620,0.329000,0.568810
67,0.359062,0.359000,0.581430
68,0.356489,0.359000,0.568510
69,0.361921,0.363000,0.565204
70,0.335334,0.329000,0.560397
71,0.321898,0.328000,0.565505
72,0.335620,0.334000,0.577825
73,0.266152,0.255000,0.496394
74,0.316752,0.317000,0.549880
75,0.357919,0.355000,0.586538
76,0.349342,0.348000,0.582933
77,0.345054,0.341000,0.589243
78,0.336192,0.339000,0.581130
79,0.339623,0.343000,0.577524
80,0.331904,0.330000,0.570613
81,0.337907,0.342000,0.580228
82,0.357919,0.349000,0.590745
83,0.349057,0.344000,0.582031
84,0.350200,0.346000,0.592548
85,0.342196,0.345000,0.580829
86,0.330760,0.333000,0.576022
87,0.335334,0.338000,0.578726
88,0.337907,0.339000,0.583834
89,0.337050,0.339000,0.580529
90,0.359348,0.356000,0.596755
91,0.347341,0.342000,0.585337
92,0.335620,0.341000,0.577825
93,0.359348,0.360000,0.593450
94,0.345340,0.343000,0.580529
95,0.335334,0.337000,0.574820
96,0.336764,0.340000,0.571514
97,0.327330,0.328000,0.559495
98,0.343339,0.336000,0.580228
99,0.323042,0.324000,0.566106
100,0.337621,0.337000,0.579327
101,0.333333,0.335000,0.556190
102,0.358205,0.351000,0.583534
103,0.341052,0.338000,0.582933
104,0.360206,0.357000,0.577825
105,0.349342,0.345000,0.589844
106,0.346770,0.344000,0.585938
107,0.347341,0.345000,0.588942
108,0.335049,0.337000,0.577224
109,0.338479,0.335000,0.576923
110,0.356489,0.355000,0.594952
111,0.355060,0.351000,0.597055
112,0.346198,0.342000,0.590144
113,0.346198,0.341000,0.591947
114,0.357919,0.361000,0.590144
115,0.339051,0.341000,0.577224
116,0.349628,0.343000,0.593149
117,0.346770,0.341000,0.584736
118,0.341624,0.341000,0.581430
119,0.345054,0.338000,0.570312
120,0.359920,0.353000,0.596755
121,0.339623,0.342000,0.573317
122,0.353631,0.346000,0.591046
123,0.326472,0.321000,0.569411
124,0.350772,0.349000,0.588341
125,0.350200,0.342000,0.590144
126,0.338765,0.338000,0.579026
127,0.345054,0.341000,0.586238
128,0.347341,0.339000,0.573317
129,0.346484,0.346000,0.588041
130,0.345054,0.344000,0.584435
131,0.353917,0.348000,0.590144
132,0.342196,0.339000,0.582933
133,0.357061,0.346000,0.597055
134,0.344768,0.340000,0.588341
135,0.343911,0.336000,0.581430
136,0.352773,0.355000,0.591647
137,0.353345,0.341000,0.591947
138,0.351344,0.347000,0.588642
139,0.352773,0.347000,0.593750
140,0.353917,0.348000,0.590445
141,0.344768,0.343000,0.584135
142,0.351058,0.347000,0.591947
143,0.340480,0.339000,0.580228
144,0.353059,0.350000,0.594050
145,0.347913,0.348000,0.597055
146,0.344483,0.342000,0.582031
147,0.339337,0.344000,0.581731
148,0.339909,0.339000,0.577524
149,0.343339,0.341000,0.586839
150,0.349628,0.344000,0.587440
151,0.354774,0.353000,0.598558
152,0.343625,0.344000,0.587139
153,0.339909,0.337000,0.584135
154,0.332762,0.332000,0.578425
155,0.361349,0.354000,0.594651
156,0.334763,0.339000,0.577825
157,0.355632,0.354000,0.591947
158,0.330760,0.335000,0.573618
159,0.358776,0.353000,0.599159
160,0.355346,0.354000,0.596454
161,0.353059,0.351000,0.594952
162,0.343053,0.330000,0.583534
163,0.352201,0.347000,0.593750
164,0.355060,0.345000,0.599159
165,0.353631,0.354000,0.594651
166,0.349628,0.339000,0.592849
167,0.352201,0.349000,0.597055
168,0.357633,0.356000,0.595252
169,0.349342,0.347000,0.591346
170,0.351344,0.352000,0.587440
171,0.354488,0.353000,0.599760
172,0.355918,0.348000,0.594952
173,0.349057,0.347000,0.592248
174,0.335334,0.331000,0.580228
175,0.349628,0.345000,0.589844
176,0.347341,0.341000,0.594351
177,0.344197,0.338000,0.586839
178,0.343625,0.341000,0.589543
179,0.340194,0.338000,0.586538
180,0.352773,0.350000,0.592548
181,0.330475,0.335000,0.577224
182,0.343339,0.346000,0.586238
183,0.345912,0.343000,0.591647
184,0.349342,0.349000,0.595252
185,0.343911,0.340000,0.584736
186,0.355346,0.350000,0.598858
187,0.346484,0.342000,0.593750
188,0.353917,0.342000,0.594050
189,0.352773,0.347000,0.592548
190,0.355060,0.351000,0.591346
191,0.349057,0.345000,0.592548
192,0.342196,0.344000,0.585337
193,0.333047,0.335000,0.573618
194,0.342196,0.340000,0.585938
195,0.349342,0.350000,0.593450
196,0.351344,0.355000,0.592248
197,0.344483,0.334000,0.587139
198,0.343053,0.348000,0.579627
199,0.331046,0.330000,0.574219
200,0.351344,0.344000,0.592548
201,0.340194,0.332000,0.587139
202,0.355060,0.351000,0.599159
203,0.346770,0.345000,0.593149
204,0.346770,0.345000,0.589844
205,0.339337,0.339000,0.581430
206,0.347341,0.340000,0.592248
207,0.348771,0.339000,0.591947
208,0.348771,0.347000,0.590144
209,0.349057,0.345000,0.593149
210,0.343625,0.339000,0.581130
211,0.344197,0.343000,0.585036
212,0.347913,0.348000,0.590745
213,0.358205,0.351000,0.596755
214,0.347055,0.345000,0.590445
215,0.351915,0.341000,0.597957
216,0.355346,0.341000,0.593149
217,0.338765,0.335000,0.585637
218,0.348199,0.341000,0.591346
219,0.340766,0.343000,0.583233
220,0.345340,0.345000,0.589844
221,0.342196,0.343000,0.583534
222,0.346198,0.339000,0.591947
223,0.349628,0.350000,0.590745
224,0.355060,0.351000,0.598858
225,0.346770,0.340000,0.589844
226,0.341338,0.335000,0.585938
227,0.358205,0.351000,0.600060
228,0.356489,0.347000,0.603365
229,0.349628,0.343000,0.592248
230,0.349628,0.347000,0.594952
231,0.357061,0.352000,0.601262
232,0.343625,0.335000,0.587440
233,0.352487,0.338000,0.594952
234,0.348199,0.340000,0.591947
235,0.341338,0.329000,0.587740
236,0.349628,0.342000,0.591947
237,0.351344,0.338000,0.592248
238,0.346484,0.339000,0.589543
239,0.353631,0.343000,0.600060
240,0.349628,0.343000,0.591346
241,0.356489,0.348000,0.599459
242,0.346198,0.342000,0.591346
243,0.347913,0.341000,0.593750
244,0.346198,0.345000,0.588942
245,0.352201,0.336000,0.597055
246,0.342196,0.339000,0.585337
247,0.346198,0.337000,0.587740
248,0.345912,0.342000,0.589844
249,0.353917,0.347000,0.599760
250,0.352487,0.341000,0.595853
251,0.347055,0.344000,0.588341
252,0.357919,0.353000,0.600661
253,0.350200,0.337000,0.593450
254,0.335620,0.329000,0.582031
255,0.351915,0.343000,0.595853
256,0.359062,0.350000,0.600962
257,0.355632,0.345000,0.598257
258,0.355060,0.347000,0.598858
259,0.350200,0.344000,0.592248
260,0.340766,0.332000,0.583834
261,0.361063,0.355000,0.603065
262,0.356775,0.347000,0.596755
263,0.347055,0.344000,0.588642
264,0.352487,0.339000,0.598558
265,0.350200,0.334000,0.593450
266,0.352201,0.345000,0.596755
267,0.349057,0.346000,0.593450
268,0.351915,0.344000,0.601262
269,0.352487,0.344000,0.595853
270,0.354488,0.347000,0.599459
271,0.356204,0.340000,0.596454
272,0.345912,0.335000,0.590144
273,0.357347,0.346000,0.601863
274,0.350200,0.341000,0.593149
275,0.352487,0.340000,0.599459
276,0.350486,0.338000,0.597957
277,0.351344,0.348000,0.593450
278,0.356204,0.343000,0.595553
279,0.351058,0.345000,0.594952
280,0.351915,0.341000,0.594952
281,0.353917,0.343000,0.597656
282,0.355918,0.349000,0.600361
283,0.351915,0.341000,0.598257
284,0.356204,0.343000,0.599159
285,0.353059,0.341000,0.596454
286,0.344768,0.339000,0.589243
287,0.352773,0.344000,0.595853
288,0.351630,0.342000,0.594952
289,0.348485,0.340000,0.593149
290,0.361349,0.349000,0.603365
291,0.351058,0.344000,0.594952
292,0.342767,0.332000,0.586538
293,0.355632,0.345000,0.600361
294,0.343911,0.332000,0.587440
