epoch,train_acc,test_acc
0,0.064322,0.075000
1,0.471412,0.465000
2,0.615495,0.606000
3,0.502287,0.490000
4,0.512864,0.501000
5,0.541452,0.538000
6,0.537164,0.528000
7,0.526872,0.514000
8,0.539165,0.516000
9,0.537450,0.517000
10,0.546884,0.519000
11,0.562893,0.550000
12,0.550314,0.523000
13,0.510577,0.491000
14,0.570326,0.532000
15,0.537736,0.516000
16,0.541166,0.506000
17,0.565180,0.540000
18,0.548027,0.523000
19,0.565752,0.545000
20,0.608919,0.566000
21,0.556890,0.526000
22,0.624071,0.585000
23,0.588622,0.545000
24,0.600343,0.570000
25,0.592053,0.558000
26,0.575472,0.546000
27,0.612922,0.568000
28,0.629217,0.589000
29,0.588622,0.538000
30,0.628931,0.582000
31,0.639222,0.591000
32,0.648370,0.603000
33,0.644940,0.588000
34,0.645226,0.609000
35,0.620926,0.572000
36,0.657519,0.613000
37,0.686106,0.631000
38,0.650943,0.593000
39,0.670383,0.608000
40,0.711264,0.665000
41,0.689537,0.658000
42,0.673242,0.604000
43,0.718125,0.662000
44,0.705260,0.656000
45,0.704974,0.653000
46,0.716409,0.670000
47,0.708405,0.660000
48,0.725557,0.663000
49,0.700972,0.654000
50,0.704688,0.639000
51,0.706404,0.661000
52,0.691538,0.623000
53,0.690966,0.632000
54,0.724128,0.655000
55,0.682676,0.629000
56,0.715552,0.660000
57,0.725272,0.656000
58,0.687536,0.633000
59,0.719840,0.640000
60,0.715266,0.635000
61,0.720983,0.654000
62,0.726987,0.663000
63,0.719840,0.642000
64,0.717839,0.644000
65,0.732704,0.657000
66,0.726129,0.652000
67,0.716981,0.640000
68,0.733848,0.649000
69,0.737850,0.652000
70,0.711549,0.642000
71,0.725843,0.641000
72,0.728416,0.644000
73,0.729274,0.645000
74,0.740709,0.668000
75,0.745855,0.650000
76,0.736993,0.648000
77,0.707261,0.627000
78,0.751286,0.659000
79,0.721555,0.627000
80,0.729560,0.643000
81,0.741852,0.649000
82,0.745283,0.650000
83,0.733848,0.627000
84,0.716695,0.641000
85,0.750715,0.657000
86,0.738708,0.663000
87,0.736707,0.645000
88,0.740995,0.643000
89,0.732990,0.623000
90,0.734134,0.633000
91,0.749285,0.651000
92,0.735563,0.638000
93,0.742138,0.654000
94,0.723556,0.637000
95,0.728130,0.627000
96,0.739280,0.634000
97,0.717839,0.628000
98,0.722413,0.626000
99,0.743568,0.651000
100,0.734134,0.629000
101,0.741567,0.640000
102,0.743282,0.648000
103,0.725557,0.627000
104,0.746427,0.637000
105,0.734991,0.629000
106,0.742710,0.645000
107,0.739851,0.637000
108,0.742996,0.634000
109,0.741567,0.645000
110,0.736707,0.640000
111,0.734420,0.644000
112,0.744425,0.631000
113,0.732419,0.622000
114,0.735563,0.631000
115,0.743854,0.642000
116,0.736421,0.635000
117,0.745855,0.633000
118,0.747856,0.636000
119,0.741852,0.627000
120,0.748714,0.636000
121,0.741567,0.637000
122,0.746427,0.642000
123,0.744425,0.626000
124,0.739565,0.628000
125,0.746998,0.640000
126,0.728130,0.618000
127,0.743854,0.640000
128,0.734991,0.631000
129,0.742996,0.637000
130,0.734134,0.622000
131,0.750429,0.653000
132,0.739280,0.638000
133,0.725272,0.624000
134,0.739280,0.642000
135,0.735849,0.629000
136,0.741852,0.643000
137,0.740995,0.632000
138,0.726415,0.621000
139,0.737278,0.622000
140,0.724700,0.616000
141,0.745283,0.640000
142,0.721269,0.618000
143,0.741852,0.632000
144,0.748714,0.632000
145,0.734420,0.628000
146,0.735563,0.621000
147,0.750143,0.645000
148,0.737278,0.631000
149,0.741852,0.630000
150,0.733562,0.629000
151,0.735849,0.631000
152,0.738422,0.630000
153,0.736421,0.639000
154,0.746998,0.637000
155,0.730703,0.631000
156,0.729560,0.635000
157,0.735563,0.629000
158,0.724414,0.628000
159,0.731275,0.632000
160,0.743282,0.642000
161,0.727844,0.629000
162,0.730703,0.634000
163,0.730703,0.634000
164,0.724414,0.632000
165,0.720983,0.626000
166,0.730417,0.633000
167,0.735277,0.637000
168,0.723556,0.620000
169,0.730417,0.633000
170,0.725843,0.627000
171,0.723842,0.613000
172,0.715552,0.616000
173,0.723556,0.627000
174,0.711264,0.615000
175,0.731275,0.637000
176,0.713551,0.609000
177,0.701830,0.593000
178,0.726415,0.612000
179,0.716123,0.621000
180,0.729560,0.632000
181,0.726129,0.627000
182,0.717839,0.614000
183,0.719268,0.613000
184,0.717839,0.620000
185,0.722985,0.615000
186,0.728130,0.624000
187,0.719554,0.619000
188,0.719554,0.625000
189,0.714980,0.625000
190,0.715266,0.621000
191,0.720126,0.620000
192,0.714408,0.620000
193,0.711264,0.613000
194,0.712979,0.617000
195,0.717553,0.624000
196,0.712693,0.615000
197,0.715266,0.614000
198,0.719268,0.617000
199,0.714122,0.623000
200,0.713836,0.620000
201,0.713551,0.625000
202,0.715838,0.625000
203,0.704688,0.616000
204,0.714122,0.622000
205,0.715552,0.628000
206,0.706690,0.613000
207,0.717267,0.624000
208,0.719268,0.619000
209,0.708691,0.618000
210,0.712979,0.621000
211,0.715552,0.622000
212,0.708405,0.618000
213,0.710978,0.620000
214,0.706690,0.623000
215,0.707261,0.623000
216,0.707547,0.620000
217,0.711549,0.623000
218,0.708691,0.628000
219,0.706975,0.629000
220,0.706975,0.621000
221,0.710692,0.621000
222,0.704688,0.623000
223,0.704117,0.621000
224,0.703545,0.618000
225,0.708405,0.627000
226,0.710978,0.617000
227,0.701830,0.608000
228,0.712121,0.618000
229,0.706404,0.620000
230,0.705832,0.615000
231,0.708119,0.618000
232,0.710406,0.618000
233,0.703831,0.616000
234,0.711264,0.622000
235,0.708405,0.614000
236,0.704117,0.618000
237,0.711264,0.620000
238,0.706118,0.620000
239,0.707261,0.623000
240,0.709834,0.619000
241,0.708405,0.621000
242,0.704688,0.620000
243,0.710692,0.620000
244,0.706975,0.614000
245,0.708691,0.621000
246,0.706404,0.617000
247,0.704974,0.615000
248,0.701830,0.618000
249,0.704117,0.617000
250,0.702973,0.621000
251,0.704688,0.620000
252,0.704974,0.614000
253,0.705260,0.617000
254,0.705260,0.620000
255,0.703259,0.617000
256,0.705260,0.613000
257,0.704688,0.613000
258,0.705546,0.623000
259,0.706690,0.621000
260,0.703545,0.617000
261,0.703545,0.615000
262,0.709834,0.615000
263,0.706404,0.619000
264,0.704974,0.620000
265,0.707261,0.624000
266,0.704403,0.613000
267,0.705546,0.616000
268,0.706404,0.618000
269,0.704688,0.614000
270,0.706118,0.617000
271,0.704974,0.612000
272,0.704974,0.617000
273,0.703259,0.617000
274,0.704974,0.617000
275,0.703259,0.617000
276,0.704403,0.612000
277,0.700686,0.612000
278,0.701544,0.613000
