epoch,train_acc,test_acc,train_pos_prob
0,0.064322,0.075000,0.161403
1,0.482276,0.483000,0.666606
2,0.504860,0.513000,0.712131
3,0.531732,0.531000,0.680347
4,0.527158,0.525000,0.707957
5,0.579760,0.580000,0.758522
6,0.604345,0.604000,0.780429
7,0.616066,0.610000,0.806437
8,0.588622,0.575000,0.789724
9,0.613208,0.599000,0.804768
10,0.664951,0.653000,0.810601
11,0.640080,0.624000,0.798549
12,0.621498,0.610000,0.803734
13,0.628645,0.632000,0.825197
14,0.664666,0.645000,0.834789
15,0.646369,0.625000,0.808808
16,0.661521,0.637000,0.841966
17,0.672384,0.643000,0.846385
18,0.687822,0.669000,0.846317
19,0.645512,0.635000,0.835755
20,0.675815,0.648000,0.846325
21,0.672098,0.659000,0.850019
22,0.684677,0.648000,0.857686
23,0.683819,0.653000,0.860106
24,0.670955,0.649000,0.857571
25,0.684963,0.652000,0.861201
26,0.662664,0.631000,0.861308
27,0.668668,0.651000,0.863938
28,0.688393,0.647000,0.863585
29,0.672670,0.664000,0.849642
30,0.687250,0.658000,0.852325
31,0.680961,0.649000,0.849729
32,0.674385,0.636000,0.867660
33,0.688679,0.650000,0.866244
34,0.680675,0.641000,0.859829
35,0.646941,0.616000,0.853934
36,0.674385,0.643000,0.859834
37,0.689537,0.657000,0.862253
38,0.686106,0.655000,0.856552
39,0.672670,0.640000,0.873626
40,0.688393,0.653000,0.855041
41,0.674957,0.657000,0.858301
42,0.638079,0.602000,0.848374
43,0.692396,0.662000,0.875383
44,0.698971,0.668000,0.857261
45,0.671527,0.630000,0.851283
46,0.685535,0.658000,0.876402
47,0.678102,0.644000,0.859369
48,0.686106,0.639000,0.860491
49,0.703545,0.680000,0.880649
50,0.698399,0.661000,0.881285
51,0.673528,0.633000,0.883186
52,0.683533,0.648000,0.877397
53,0.693253,0.641000,0.881039
54,0.676958,0.631000,0.882257
55,0.682390,0.630000,0.881259
56,0.698685,0.652000,0.875308
57,0.704117,0.666000,0.889693
58,0.686392,0.644000,0.875606
59,0.696112,0.640000,0.872146
60,0.684677,0.647000,0.880902
61,0.695540,0.644000,0.888295
62,0.701830,0.644000,0.893477
63,0.698685,0.643000,0.894509
64,0.688393,0.645000,0.896891
65,0.711835,0.668000,0.897439
66,0.698685,0.677000,0.899317
67,0.710120,0.673000,0.896296
68,0.710978,0.664000,0.902001
69,0.693539,0.652000,0.906463
70,0.701544,0.652000,0.891885
71,0.673242,0.631000,0.893088
72,0.705832,0.649000,0.910756
73,0.699543,0.655000,0.912567
74,0.717267,0.669000,0.908687
75,0.673242,0.613000,0.892807
76,0.700400,0.657000,0.898187
77,0.714980,0.658000,0.902982
78,0.696970,0.648000,0.897319
79,0.703259,0.633000,0.908531
80,0.715838,0.660000,0.910153
81,0.703545,0.660000,0.906480
82,0.721555,0.660000,0.909790
83,0.707833,0.651000,0.912747
84,0.671241,0.618000,0.888975
85,0.723270,0.659000,0.918340
86,0.695826,0.627000,0.912337
87,0.709548,0.642000,0.919209
88,0.713551,0.660000,0.916574
89,0.702115,0.638000,0.917682
90,0.691824,0.626000,0.912774
91,0.724700,0.675000,0.924687
92,0.716123,0.655000,0.938524
93,0.716409,0.640000,0.937834
94,0.718982,0.646000,0.935771
95,0.712693,0.645000,0.938177
96,0.731275,0.656000,0.942310
97,0.715838,0.635000,0.946914
98,0.728416,0.652000,0.943109
99,0.727844,0.652000,0.948764
100,0.732990,0.655000,0.950392
101,0.724700,0.648000,0.950528
102,0.731847,0.655000,0.952073
103,0.731561,0.646000,0.943498
104,0.736135,0.663000,0.950470
105,0.738136,0.662000,0.950284
106,0.720412,0.661000,0.950498
107,0.731561,0.655000,0.955416
108,0.743568,0.649000,0.958675
109,0.726415,0.647000,0.943514
110,0.737850,0.666000,0.959875
111,0.722127,0.628000,0.953069
112,0.738136,0.649000,0.965517
113,0.724986,0.644000,0.958278
114,0.738994,0.651000,0.963397
115,0.733848,0.648000,0.960416
116,0.733562,0.651000,0.960776
117,0.734991,0.655000,0.960772
118,0.729846,0.647000,0.964441
119,0.735563,0.653000,0.967247
120,0.738422,0.646000,0.965765
121,0.736707,0.649000,0.972342
122,0.748142,0.667000,0.972858
