epoch,train_acc,test_acc,train_pos_prob
0,0.064322,0.075000,0.161403
1,0.431675,0.432000,0.545190
2,0.507719,0.512000,0.652378
3,0.499428,0.492000,0.689252
4,0.449971,0.442000,0.648750
5,0.398799,0.387000,0.670620
6,0.446827,0.437000,0.666946
7,0.473699,0.473000,0.694793
8,0.453116,0.444000,0.712811
9,0.481132,0.471000,0.692164
10,0.514866,0.495000,0.663742
11,0.566609,0.566000,0.709465
12,0.541166,0.534000,0.737327
13,0.526301,0.520000,0.759888
14,0.593196,0.567000,0.769886
15,0.528302,0.523000,0.744996
16,0.570326,0.542000,0.758185
17,0.531447,0.522000,0.755619
18,0.578616,0.553000,0.735799
19,0.556318,0.550000,0.763255
20,0.489708,0.474000,0.704380
21,0.586335,0.575000,0.753674
22,0.614351,0.590000,0.792631
23,0.513722,0.503000,0.735950
24,0.541738,0.561000,0.709369
25,0.605775,0.599000,0.771872
26,0.563465,0.537000,0.774914
27,0.612350,0.600000,0.771731
28,0.608348,0.609000,0.769713
29,0.566038,0.548000,0.754610
30,0.502287,0.481000,0.736467
31,0.571755,0.562000,0.764796
32,0.580046,0.547000,0.773535
33,0.578330,0.540000,0.768797
34,0.566609,0.544000,0.773484
35,0.612922,0.589000,0.789041
36,0.651229,0.635000,0.799578
37,0.617496,0.601000,0.797189
38,0.605775,0.576000,0.757232
39,0.567467,0.541000,0.779090
40,0.644940,0.617000,0.787505
41,0.605203,0.590000,0.789555
42,0.522870,0.495000,0.762535
43,0.582905,0.562000,0.792957
44,0.617496,0.593000,0.796614
45,0.518296,0.489000,0.763377
46,0.610921,0.608000,0.756478
47,0.647799,0.624000,0.773394
48,0.562607,0.532000,0.777067
49,0.544597,0.519000,0.780043
50,0.629503,0.620000,0.781973
51,0.502001,0.502000,0.769966
52,0.592624,0.576000,0.812176
53,0.612636,0.594000,0.801972
54,0.618639,0.610000,0.810768
55,0.587193,0.578000,0.774552
56,0.585477,0.558000,0.790811
57,0.592910,0.575000,0.795349
58,0.582333,0.569000,0.807083
59,0.652373,0.618000,0.811248
60,0.548313,0.535000,0.775167
61,0.626644,0.615000,0.801915
62,0.583476,0.556000,0.798597
63,0.617210,0.598000,0.811655
64,0.653802,0.646000,0.823435
65,0.645512,0.629000,0.824381
66,0.609491,0.598000,0.806050
67,0.570326,0.568000,0.796754
68,0.632933,0.611000,0.805077
69,0.563179,0.537000,0.794803
70,0.622070,0.589000,0.806625
71,0.638365,0.639000,0.814936
72,0.573756,0.556000,0.816935
73,0.642081,0.629000,0.834881
74,0.690109,0.654000,0.828340
75,0.621498,0.588000,0.822931
76,0.644082,0.602000,0.821848
77,0.687536,0.670000,0.843014
78,0.636364,0.607000,0.834266
79,0.610635,0.589000,0.812831
80,0.582047,0.569000,0.802139
81,0.629788,0.618000,0.826082
82,0.578902,0.559000,0.828349
83,0.633219,0.600000,0.821128
84,0.671241,0.648000,0.837456
85,0.662379,0.636000,0.830412
86,0.665237,0.641000,0.826799
87,0.640652,0.607000,0.838403
88,0.712693,0.675000,0.845249
89,0.613208,0.585000,0.830591
90,0.693539,0.657000,0.843554
91,0.598628,0.567000,0.807533
92,0.607776,0.585000,0.837174
93,0.614065,0.606000,0.823719
94,0.674957,0.641000,0.826656
95,0.655232,0.637000,0.838735
96,0.647513,0.618000,0.811827
97,0.628645,0.598000,0.820596
98,0.532876,0.523000,0.810070
99,0.563751,0.546000,0.820101
100,0.596913,0.571000,0.840695
101,0.599200,0.576000,0.855332
102,0.651801,0.620000,0.852019
103,0.675243,0.631000,0.853075
104,0.705546,0.662000,0.844950
105,0.622070,0.575000,0.837704
106,0.645512,0.617000,0.840453
107,0.626644,0.597000,0.845801
108,0.688107,0.653000,0.851845
109,0.654088,0.619000,0.850823
110,0.704403,0.668000,0.856113
111,0.617496,0.607000,0.849240
112,0.610349,0.581000,0.852729
113,0.711264,0.669000,0.868295
114,0.656089,0.624000,0.859548
115,0.694397,0.674000,0.866798
116,0.666095,0.624000,0.852112
117,0.668096,0.634000,0.856120
118,0.688107,0.643000,0.863831
119,0.692967,0.654000,0.870869
120,0.717839,0.686000,0.858095
121,0.693253,0.662000,0.865700
122,0.695540,0.670000,0.864677
123,0.688679,0.649000,0.864793
124,0.600057,0.561000,0.841055
125,0.611206,0.576000,0.852562
126,0.660091,0.636000,0.873307
127,0.640080,0.609000,0.861008
128,0.606632,0.570000,0.844700
129,0.648656,0.609000,0.863334
130,0.693825,0.657000,0.879708
131,0.663522,0.629000,0.870117
132,0.694111,0.656000,0.859523
133,0.672956,0.629000,0.856463
134,0.711549,0.677000,0.865545
135,0.700686,0.669000,0.868139
136,0.669525,0.629000,0.856188
137,0.678102,0.644000,0.869886
138,0.671812,0.627000,0.874864
139,0.706118,0.651000,0.873189
140,0.670669,0.636000,0.852020
141,0.682390,0.639000,0.861636
142,0.677244,0.632000,0.878218
143,0.696970,0.654000,0.873549
144,0.663522,0.600000,0.871888
145,0.690966,0.634000,0.888143
146,0.693539,0.647000,0.882386
147,0.713836,0.662000,0.885189
148,0.623213,0.589000,0.881123
149,0.650943,0.612000,0.883581
150,0.685249,0.648000,0.887283
151,0.660663,0.615000,0.881044
152,0.727844,0.662000,0.886819
153,0.728702,0.674000,0.897798
154,0.741567,0.687000,0.895490
155,0.651515,0.602000,0.888834
156,0.713551,0.653000,0.902031
157,0.698399,0.648000,0.884421
158,0.693253,0.664000,0.892861
159,0.721841,0.661000,0.902451
160,0.698971,0.645000,0.898471
161,0.704117,0.679000,0.893636
162,0.703831,0.665000,0.897952
163,0.722413,0.675000,0.903038
164,0.722699,0.672000,0.908743
165,0.695254,0.655000,0.902819
166,0.714408,0.668000,0.902223
167,0.693253,0.652000,0.904251
168,0.704403,0.654000,0.902137
169,0.724700,0.655000,0.903922
170,0.708977,0.651000,0.913295
171,0.719268,0.660000,0.907414
172,0.698399,0.642000,0.909752
173,0.685535,0.631000,0.897773
174,0.724986,0.670000,0.909116
175,0.690109,0.653000,0.899025
176,0.684963,0.618000,0.907632
177,0.692967,0.629000,0.908315
178,0.746141,0.681000,0.912128
179,0.673814,0.642000,0.898624
180,0.632647,0.594000,0.898782
181,0.669240,0.635000,0.904017
182,0.669240,0.615000,0.900915
183,0.712979,0.662000,0.909056
184,0.704403,0.655000,0.911824
185,0.715552,0.656000,0.918310
186,0.736421,0.677000,0.917678
187,0.705260,0.639000,0.905817
188,0.744711,0.667000,0.916691
189,0.695826,0.643000,0.923131
190,0.708977,0.641000,0.921224
191,0.663808,0.616000,0.922911
192,0.685249,0.626000,0.925097
193,0.735849,0.670000,0.927304
194,0.704688,0.646000,0.924787
195,0.633219,0.588000,0.922153
196,0.674099,0.634000,0.918885
197,0.728130,0.671000,0.932616
198,0.670097,0.607000,0.924145
199,0.704688,0.672000,0.924899
200,0.732419,0.663000,0.922435
201,0.682104,0.605000,0.926759
202,0.682104,0.619000,0.926203
203,0.663236,0.608000,0.935072
204,0.704117,0.637000,0.930633
205,0.692967,0.630000,0.933178
206,0.720983,0.654000,0.937439
207,0.717553,0.655000,0.939802
208,0.670383,0.601000,0.932624
209,0.667238,0.624000,0.937461
210,0.678102,0.630000,0.941710
211,0.670955,0.600000,0.940503
212,0.706975,0.648000,0.945277
213,0.715266,0.659000,0.943476
214,0.628359,0.588000,0.941777
215,0.703545,0.648000,0.946733
216,0.718411,0.656000,0.949493
217,0.663236,0.611000,0.950141
218,0.705546,0.630000,0.950506
219,0.657519,0.595000,0.947909
220,0.683819,0.639000,0.951270
221,0.742710,0.664000,0.951880
