epoch,train_acc,test_acc
0,0.108800,0.110800
1,0.292820,0.291800
2,0.387780,0.387300
3,0.368740,0.369100
4,0.381740,0.370700
5,0.355860,0.357000
6,0.391340,0.373900
7,0.366980,0.347300
8,0.403820,0.377100
9,0.394860,0.378500
10,0.390880,0.364400
11,0.383340,0.365300
12,0.408420,0.386100
13,0.394900,0.371200
14,0.418460,0.395300
15,0.396800,0.377600
16,0.390620,0.371900
17,0.382920,0.361100
18,0.417220,0.388200
19,0.399200,0.371600
20,0.406980,0.381900
21,0.399400,0.364900
22,0.398440,0.370500
23,0.391300,0.359800
24,0.416520,0.396400
25,0.420180,0.386400
26,0.403020,0.379900
27,0.382960,0.352500
28,0.396780,0.367200
29,0.379380,0.346300
30,0.424280,0.396700
31,0.393580,0.363700
32,0.422660,0.390800
33,0.376280,0.349800
34,0.450300,0.412800
35,0.418820,0.380200
36,0.453060,0.420100
37,0.403040,0.372300
38,0.434240,0.401000
39,0.428680,0.387500
40,0.435000,0.406500
41,0.434560,0.391000
42,0.457740,0.420600
43,0.429760,0.396100
44,0.455480,0.416600
45,0.421240,0.382800
46,0.446020,0.404500
47,0.447240,0.403700
48,0.469660,0.428600
49,0.449080,0.404600
50,0.469900,0.421300
51,0.449700,0.403800
52,0.473160,0.426800
53,0.467640,0.419600
54,0.476420,0.428500
55,0.453580,0.405300
56,0.487240,0.436900
57,0.474520,0.417900
58,0.494440,0.443700
59,0.482520,0.419200
60,0.496700,0.440900
61,0.479220,0.408000
62,0.499460,0.437500
63,0.484200,0.418300
64,0.484340,0.425200
65,0.469420,0.407700
66,0.502980,0.442900
67,0.497220,0.428800
68,0.515680,0.454100
69,0.499920,0.421800
70,0.534060,0.459000
71,0.506660,0.426600
72,0.517780,0.451900
73,0.502500,0.421600
74,0.540080,0.466900
75,0.539300,0.457100
76,0.552680,0.470200
77,0.539520,0.455500
78,0.545300,0.467600
79,0.533440,0.442100
80,0.571700,0.482100
81,0.531040,0.437000
82,0.570640,0.472700
83,0.556600,0.454900
84,0.577280,0.477900
85,0.554120,0.454000
86,0.585280,0.484600
87,0.570240,0.465500
88,0.602680,0.487300
89,0.552380,0.452600
90,0.588080,0.479600
91,0.575880,0.461500
92,0.604200,0.485900
93,0.599200,0.477400
94,0.621980,0.502200
95,0.615220,0.490800
96,0.610720,0.483700
97,0.585980,0.455600
98,0.627320,0.497400
99,0.610340,0.482800
100,0.620480,0.489500
101,0.619540,0.476400
102,0.643960,0.503000
103,0.625760,0.485900
104,0.630760,0.492700
105,0.644800,0.491800
106,0.635700,0.493000
107,0.625600,0.471700
108,0.665620,0.498900
109,0.663480,0.494200
110,0.680460,0.515300
111,0.674440,0.503200
112,0.665320,0.504600
113,0.672700,0.503600
114,0.693620,0.521800
115,0.677280,0.500200
116,0.687200,0.514500
117,0.684200,0.505700
118,0.701660,0.517100
119,0.699040,0.518000
120,0.702720,0.522400
121,0.709480,0.520200
122,0.704620,0.515500
123,0.714520,0.511500
124,0.709780,0.512100
125,0.700860,0.504200
126,0.721580,0.517000
127,0.725820,0.517300
128,0.735540,0.519500
129,0.720600,0.516700
130,0.746560,0.525800
131,0.733300,0.516100
132,0.741720,0.522700
133,0.749040,0.519400
134,0.750060,0.520100
135,0.737220,0.508500
136,0.754220,0.512600
137,0.763280,0.519500
138,0.763300,0.520600
139,0.763060,0.522600
140,0.759040,0.508300
141,0.766540,0.522200
142,0.785740,0.528200
143,0.780920,0.523800
144,0.768820,0.516700
145,0.774760,0.507500
146,0.789500,0.525900
147,0.784120,0.518200
148,0.792900,0.531000
149,0.783760,0.525200
150,0.784780,0.516100
151,0.790460,0.521300
152,0.797040,0.523600
153,0.802940,0.526700
154,0.810400,0.522000
155,0.808700,0.524600
156,0.807440,0.516600
157,0.810920,0.521600
158,0.814720,0.525800
159,0.807000,0.516600
160,0.825180,0.527400
161,0.806600,0.518600
162,0.807920,0.519900
163,0.836280,0.526700
164,0.825700,0.518600
165,0.837860,0.523300
166,0.836960,0.525000
167,0.824460,0.518900
168,0.837240,0.530400
169,0.839200,0.520900
170,0.837380,0.521700
171,0.842220,0.521700
172,0.841400,0.526600
173,0.838400,0.529400
174,0.850080,0.523800
175,0.850220,0.524700
176,0.848640,0.522300
177,0.852000,0.525200
178,0.850220,0.520700
179,0.861040,0.529200
180,0.860180,0.523300
181,0.856500,0.521800
182,0.860360,0.523800
183,0.863960,0.522700
184,0.859900,0.524200
185,0.867300,0.525100
186,0.868820,0.525100
187,0.871460,0.529200
188,0.868100,0.528400
189,0.873960,0.531300
190,0.871700,0.530200
191,0.868180,0.523300
192,0.873540,0.524400
193,0.869080,0.516600
194,0.874540,0.527000
195,0.876060,0.523200
196,0.879540,0.527000
197,0.876560,0.526200
198,0.881340,0.527600
199,0.880880,0.525200
200,0.885860,0.525200
201,0.884220,0.525300
202,0.886740,0.523300
203,0.887920,0.524200
204,0.887500,0.529700
205,0.891160,0.523600
206,0.888280,0.520900
207,0.887120,0.525600
208,0.891520,0.526900
209,0.887040,0.519300
210,0.892020,0.530900
211,0.893600,0.525800
212,0.894360,0.527600
213,0.896600,0.524900
214,0.892140,0.524800
215,0.895420,0.523300
216,0.898140,0.527900
217,0.894680,0.530700
218,0.898860,0.527400
219,0.898760,0.525300
220,0.895840,0.521000
221,0.901740,0.529500
222,0.900420,0.529500
223,0.900020,0.523800
224,0.902480,0.522900
225,0.900840,0.523900
226,0.905000,0.523200
227,0.903720,0.518400
228,0.902260,0.526100
229,0.904760,0.528900
230,0.902780,0.521900
231,0.903040,0.526800
232,0.903680,0.522900
233,0.906440,0.524700
234,0.905500,0.523700
235,0.905840,0.527700
236,0.907520,0.524200
237,0.907960,0.529300
238,0.907540,0.524700
239,0.907620,0.525400
240,0.907780,0.520400
241,0.905860,0.522200
242,0.909120,0.527700
243,0.909400,0.523100
244,0.909380,0.522400
245,0.910020,0.522800
246,0.911200,0.524300
247,0.910260,0.515500
248,0.909960,0.523400
249,0.909160,0.525700
250,0.911760,0.521100
