epoch,train_acc,test_acc
0,0.108800,0.110800
1,0.400820,0.385500
2,0.432860,0.426600
3,0.446600,0.428100
4,0.458720,0.433200
5,0.452240,0.429200
6,0.425980,0.409700
7,0.447580,0.420200
8,0.455520,0.429000
9,0.463080,0.430300
10,0.467400,0.436600
11,0.465520,0.441100
12,0.468700,0.439300
13,0.490060,0.459500
14,0.463300,0.432400
15,0.489500,0.457300
16,0.462400,0.432900
17,0.479860,0.442500
18,0.496560,0.457500
19,0.511180,0.465400
20,0.473560,0.434100
21,0.502340,0.461500
22,0.493560,0.445500
23,0.485680,0.444800
24,0.511600,0.467700
25,0.527060,0.482600
26,0.523360,0.472900
27,0.501640,0.454300
28,0.524220,0.470600
29,0.511940,0.465900
30,0.514820,0.463700
31,0.512660,0.458900
32,0.528860,0.469300
33,0.534820,0.483300
34,0.535920,0.488200
35,0.532440,0.474100
36,0.534600,0.480400
37,0.528480,0.471500
38,0.520620,0.455200
39,0.530820,0.477500
40,0.534240,0.478300
41,0.542120,0.480600
42,0.558900,0.500400
43,0.547580,0.488400
44,0.553260,0.487500
45,0.552260,0.488100
46,0.550240,0.483500
47,0.526940,0.460700
48,0.550340,0.481500
49,0.537780,0.464100
50,0.540740,0.472000
51,0.569220,0.494300
52,0.553980,0.478400
53,0.548260,0.479600
54,0.533600,0.469700
55,0.566600,0.492800
56,0.576740,0.499400
57,0.564680,0.488000
58,0.560740,0.497500
59,0.543280,0.469200
60,0.580620,0.499200
61,0.583260,0.500100
62,0.580300,0.496200
63,0.584180,0.502200
64,0.534020,0.456600
65,0.571820,0.490400
66,0.595260,0.509000
67,0.560440,0.478200
68,0.587860,0.501200
69,0.588740,0.503900
70,0.585360,0.490800
71,0.566960,0.472500
72,0.550860,0.463700
73,0.595880,0.497600
74,0.608120,0.507000
75,0.576600,0.476700
76,0.604820,0.501000
77,0.613920,0.508200
78,0.601620,0.492600
79,0.603600,0.496900
80,0.601140,0.503400
81,0.599180,0.497600
82,0.605060,0.499900
83,0.611040,0.500500
84,0.615900,0.500700
85,0.608240,0.496100
86,0.634120,0.517600
87,0.632940,0.507200
88,0.605780,0.496700
89,0.619940,0.501200
90,0.616360,0.500700
91,0.618080,0.498400
92,0.611440,0.490300
93,0.618380,0.502700
94,0.625600,0.508400
95,0.638260,0.509600
96,0.644020,0.518000
97,0.629940,0.502800
98,0.629980,0.502100
99,0.622920,0.496000
100,0.637120,0.505700
101,0.626580,0.494800
102,0.611240,0.492400
103,0.632820,0.495400
104,0.651460,0.509900
105,0.665700,0.516800
106,0.629340,0.489200
107,0.623780,0.488800
108,0.628440,0.497100
109,0.659940,0.516300
110,0.641460,0.503600
111,0.666700,0.516000
112,0.650380,0.499400
113,0.663980,0.508800
114,0.647520,0.502900
115,0.647680,0.504800
116,0.665300,0.511200
117,0.668580,0.512300
118,0.678060,0.516700
119,0.644340,0.498300
120,0.653380,0.500500
121,0.661620,0.506500
122,0.649160,0.499900
123,0.679820,0.514100
124,0.667720,0.509200
125,0.652580,0.507200
126,0.686960,0.524500
127,0.682800,0.512900
128,0.652220,0.489700
129,0.659660,0.501900
130,0.648140,0.494900
131,0.671600,0.501400
132,0.668380,0.502300
133,0.649020,0.494000
134,0.667880,0.494800
135,0.679440,0.501900
136,0.683800,0.505000
137,0.664300,0.497300
138,0.616300,0.467100
139,0.677380,0.497900
140,0.681920,0.501100
141,0.708080,0.507600
142,0.677840,0.496900
143,0.697100,0.523100
144,0.706500,0.509200
145,0.688940,0.503100
146,0.676540,0.496000
147,0.730820,0.518300
148,0.674460,0.488800
149,0.688240,0.501200
150,0.669760,0.487900
151,0.703000,0.502500
152,0.689220,0.497500
153,0.698420,0.505800
154,0.719320,0.518500
155,0.694280,0.492000
156,0.678340,0.487800
157,0.727960,0.509300
158,0.718900,0.507300
159,0.686180,0.486800
160,0.732120,0.511300
161,0.696920,0.493700
162,0.698240,0.490200
163,0.700900,0.492700
164,0.738380,0.518000
165,0.705040,0.495300
166,0.725480,0.506900
167,0.714160,0.494300
168,0.725520,0.504500
169,0.676800,0.475100
170,0.693000,0.485800
171,0.767940,0.523200
172,0.732820,0.504100
173,0.715680,0.500600
174,0.675340,0.467700
175,0.742900,0.498100
176,0.729740,0.496800
177,0.706340,0.483500
178,0.714960,0.481700
179,0.761240,0.512200
180,0.708000,0.491800
181,0.723100,0.494600
182,0.723400,0.485200
183,0.727700,0.496800
184,0.711200,0.486900
185,0.698460,0.479300
186,0.718120,0.482000
187,0.712820,0.482700
188,0.731920,0.498500
189,0.678400,0.470700
190,0.746980,0.501800
191,0.723340,0.486100
192,0.742080,0.491100
193,0.758700,0.499500
194,0.756360,0.506200
195,0.756840,0.497500
196,0.707640,0.473200
197,0.755620,0.496400
198,0.757380,0.496100
199,0.734760,0.486300
200,0.684480,0.463600
201,0.715880,0.482700
202,0.762380,0.496200
203,0.748720,0.493700
204,0.689300,0.470700
205,0.746480,0.479900
206,0.740760,0.483600
207,0.796420,0.508800
208,0.706640,0.469600
209,0.720440,0.473400
210,0.744440,0.484300
211,0.746880,0.487900
212,0.718480,0.462800
213,0.762260,0.482800
214,0.742780,0.480100
215,0.717620,0.473700
216,0.755900,0.484600
217,0.751420,0.481100
218,0.753800,0.487900
219,0.760020,0.478200
220,0.757360,0.480900
221,0.743040,0.477200
222,0.747580,0.475500
223,0.759480,0.480900
224,0.783260,0.498200
225,0.735120,0.473800
226,0.762080,0.476500
227,0.728560,0.466000
228,0.762840,0.481300
229,0.737380,0.468500
230,0.738740,0.468100
231,0.775720,0.488000
232,0.740380,0.467100
233,0.788580,0.495800
234,0.741020,0.469400
235,0.731080,0.460200
236,0.773720,0.485800
237,0.760940,0.482700
238,0.753020,0.483100
239,0.783240,0.483200
240,0.732300,0.461200
241,0.736580,0.471900
242,0.730620,0.449600
243,0.744160,0.470700
244,0.699440,0.449600
245,0.790040,0.483800
246,0.781320,0.485100
247,0.717760,0.462500
248,0.784760,0.479500
249,0.754780,0.469000
250,0.784520,0.474100
