epoch,train_acc,test_acc,train_pos_prob
0,0.036990,0.026667,0.124151
1,0.036990,0.040000,0.126917
2,0.049745,0.040000,0.139596
3,0.073980,0.048889,0.155467
4,0.116071,0.080000,0.178887
5,0.164541,0.102222,0.207774
6,0.233418,0.168889,0.244191
7,0.303571,0.244444,0.282783
8,0.363520,0.280000,0.327750
9,0.426020,0.333333,0.373704
10,0.463010,0.373333,0.419429
11,0.517857,0.435556,0.468493
12,0.552296,0.475556,0.511387
13,0.571429,0.506667,0.549917
14,0.605867,0.533333,0.587044
15,0.626276,0.542222,0.618526
16,0.639031,0.555556,0.648502
17,0.661990,0.564444,0.669735
18,0.681122,0.577778,0.693503
19,0.691327,0.586667,0.711913
20,0.701531,0.613333,0.726608
21,0.711735,0.635556,0.741181
22,0.711735,0.640000,0.752481
23,0.713010,0.640000,0.764609
24,0.720663,0.657778,0.773763
25,0.723214,0.662222,0.783860
26,0.723214,0.680000,0.793864
27,0.727041,0.688889,0.796961
28,0.732143,0.688889,0.801921
29,0.734694,0.693333,0.809089
30,0.742347,0.697778,0.814531
31,0.744898,0.693333,0.818871
32,0.746173,0.688889,0.822582
33,0.744898,0.688889,0.825435
34,0.746173,0.693333,0.828409
35,0.748724,0.697778,0.833392
36,0.750000,0.711111,0.836550
37,0.752551,0.711111,0.838589
38,0.753827,0.711111,0.841229
39,0.755102,0.715556,0.841823
40,0.755102,0.715556,0.843622
41,0.756378,0.715556,0.848061
42,0.760204,0.715556,0.847946
43,0.764031,0.715556,0.852810
44,0.766582,0.715556,0.851275
45,0.771684,0.715556,0.854481
46,0.775510,0.715556,0.857979
47,0.776786,0.715556,0.855980
48,0.778061,0.715556,0.860538
49,0.778061,0.715556,0.858701
50,0.780612,0.715556,0.868138
51,0.781888,0.711111,0.864049
52,0.783163,0.720000,0.863789
53,0.784439,0.720000,0.865348
54,0.785714,0.724444,0.866753
55,0.785714,0.724444,0.868089
56,0.788265,0.724444,0.869388
57,0.788265,0.720000,0.871259
58,0.792092,0.720000,0.870766
59,0.793367,0.720000,0.872456
60,0.793367,0.720000,0.875579
61,0.794643,0.720000,0.876882
62,0.795918,0.720000,0.876418
63,0.798469,0.720000,0.876063
64,0.799745,0.720000,0.879380
65,0.801020,0.720000,0.880277
66,0.801020,0.720000,0.879363
67,0.803571,0.724444,0.881054
68,0.803571,0.724444,0.884112
69,0.804847,0.724444,0.884856
70,0.806122,0.724444,0.884357
71,0.806122,0.724444,0.884517
72,0.806122,0.724444,0.883631
73,0.806122,0.724444,0.886939
74,0.807398,0.724444,0.887709
75,0.807398,0.724444,0.886418
76,0.808673,0.724444,0.886450
77,0.808673,0.724444,0.887659
78,0.808673,0.724444,0.889016
79,0.808673,0.724444,0.889142
80,0.808673,0.724444,0.889436
81,0.808673,0.724444,0.889243
82,0.808673,0.724444,0.890946
83,0.809949,0.720000,0.892875
84,0.809949,0.720000,0.892761
85,0.809949,0.724444,0.894187
86,0.809949,0.724444,0.894481
87,0.809949,0.724444,0.893644
88,0.809949,0.724444,0.893471
89,0.809949,0.724444,0.894922
90,0.809949,0.724444,0.894863
91,0.809949,0.724444,0.894766
92,0.811224,0.724444,0.897850
93,0.812500,0.724444,0.896937
94,0.813776,0.724444,0.897345
95,0.813776,0.728889,0.895153
96,0.813776,0.728889,0.897836
97,0.815051,0.728889,0.900516
98,0.815051,0.728889,0.896804
99,0.815051,0.733333,0.899197
100,0.815051,0.728889,0.898458
101,0.815051,0.733333,0.898839
102,0.815051,0.733333,0.898168
103,0.816327,0.733333,0.898928
104,0.816327,0.733333,0.897622
105,0.818878,0.733333,0.901716
106,0.818878,0.733333,0.899963
107,0.818878,0.733333,0.900059
108,0.821429,0.733333,0.901458
109,0.821429,0.733333,0.900245
110,0.820153,0.733333,0.901625
111,0.821429,0.733333,0.900806
112,0.821429,0.733333,0.901937
113,0.822704,0.733333,0.901638
114,0.822704,0.733333,0.902614
115,0.822704,0.733333,0.902590
116,0.822704,0.737778,0.902729
117,0.822704,0.737778,0.901691
118,0.822704,0.737778,0.902559
119,0.822704,0.737778,0.903293
120,0.822704,0.737778,0.904062
121,0.822704,0.737778,0.902345
122,0.822704,0.737778,0.902849
123,0.822704,0.737778,0.902964
124,0.822704,0.742222,0.902305
125,0.822704,0.742222,0.904192
126,0.822704,0.742222,0.906923
127,0.823980,0.742222,0.905555
128,0.823980,0.742222,0.903794
129,0.823980,0.742222,0.902730
130,0.825255,0.742222,0.905482
131,0.825255,0.742222,0.904228
132,0.825255,0.742222,0.904485
133,0.825255,0.742222,0.903930
134,0.825255,0.742222,0.904166
135,0.825255,0.742222,0.904104
136,0.825255,0.742222,0.907172
137,0.825255,0.742222,0.905476
138,0.825255,0.742222,0.904851
139,0.825255,0.742222,0.907993
140,0.825255,0.742222,0.908053
141,0.825255,0.742222,0.906825
142,0.826531,0.742222,0.906256
143,0.826531,0.742222,0.905949
144,0.826531,0.742222,0.905127
145,0.826531,0.742222,0.905547
146,0.826531,0.742222,0.904951
147,0.826531,0.742222,0.906722
148,0.827806,0.742222,0.909923
149,0.829082,0.742222,0.906323
150,0.829082,0.742222,0.908951
151,0.830357,0.742222,0.908185
152,0.830357,0.742222,0.905550
153,0.830357,0.742222,0.907626
154,0.830357,0.742222,0.909025
155,0.830357,0.742222,0.907082
156,0.830357,0.742222,0.906115
157,0.830357,0.742222,0.906777
158,0.831633,0.742222,0.907713
159,0.831633,0.742222,0.908523
160,0.831633,0.742222,0.906904
161,0.831633,0.746667,0.908923
162,0.831633,0.746667,0.907720
163,0.831633,0.746667,0.907229
164,0.831633,0.746667,0.907830
165,0.832908,0.746667,0.907709
166,0.832908,0.746667,0.909869
167,0.832908,0.746667,0.909601
168,0.832908,0.746667,0.909707
169,0.831633,0.746667,0.908513
170,0.831633,0.746667,0.909949
171,0.831633,0.746667,0.908654
172,0.832908,0.746667,0.909858
173,0.832908,0.746667,0.911731
174,0.832908,0.746667,0.910175
175,0.832908,0.746667,0.908997
176,0.832908,0.746667,0.910449
177,0.832908,0.746667,0.911191
178,0.832908,0.746667,0.909083
179,0.832908,0.746667,0.908023
180,0.832908,0.742222,0.910604
181,0.832908,0.742222,0.911920
182,0.832908,0.742222,0.909751
183,0.832908,0.742222,0.908697
184,0.832908,0.742222,0.911994
185,0.832908,0.742222,0.909336
186,0.832908,0.742222,0.908848
187,0.832908,0.742222,0.911398
188,0.832908,0.742222,0.909647
189,0.832908,0.742222,0.909996
190,0.832908,0.742222,0.910804
191,0.832908,0.742222,0.910191
192,0.834184,0.742222,0.909149
193,0.834184,0.742222,0.914176
194,0.834184,0.742222,0.909865
195,0.834184,0.742222,0.909666
196,0.834184,0.742222,0.910901
197,0.834184,0.742222,0.908973
198,0.834184,0.742222,0.909552
199,0.834184,0.742222,0.914484
200,0.834184,0.742222,0.909958
201,0.834184,0.742222,0.909358
202,0.834184,0.742222,0.909137
203,0.834184,0.742222,0.910390
204,0.834184,0.742222,0.911416
205,0.834184,0.742222,0.911117
206,0.834184,0.742222,0.913872
207,0.834184,0.742222,0.909727
208,0.834184,0.742222,0.912166
209,0.834184,0.742222,0.912767
210,0.834184,0.742222,0.913149
211,0.834184,0.742222,0.910347
212,0.834184,0.742222,0.910723
213,0.834184,0.742222,0.913417
214,0.834184,0.742222,0.911795
215,0.834184,0.742222,0.911953
216,0.834184,0.742222,0.911743
217,0.834184,0.742222,0.911868
218,0.834184,0.746667,0.912589
219,0.834184,0.746667,0.911156
220,0.834184,0.746667,0.909827
221,0.834184,0.746667,0.912331
222,0.834184,0.746667,0.910775
223,0.835459,0.746667,0.913470
224,0.835459,0.746667,0.910291
225,0.835459,0.746667,0.910915
226,0.835459,0.746667,0.910388
227,0.835459,0.746667,0.911462
228,0.835459,0.746667,0.911201
229,0.835459,0.751111,0.910267
230,0.835459,0.751111,0.911632
231,0.835459,0.751111,0.912207
232,0.835459,0.751111,0.910231
233,0.835459,0.751111,0.911131
234,0.835459,0.751111,0.912003
235,0.835459,0.751111,0.912642
236,0.835459,0.751111,0.910284
237,0.835459,0.751111,0.910127
238,0.835459,0.751111,0.911082
239,0.835459,0.751111,0.911682
240,0.835459,0.751111,0.912666
241,0.835459,0.751111,0.911821
242,0.835459,0.751111,0.912404
243,0.835459,0.751111,0.911565
244,0.835459,0.751111,0.910430
245,0.835459,0.751111,0.912996
246,0.835459,0.751111,0.912621
247,0.835459,0.751111,0.911469
248,0.835459,0.751111,0.912413
249,0.835459,0.751111,0.911230
250,0.835459,0.751111,0.910463
251,0.835459,0.751111,0.910765
252,0.835459,0.751111,0.913318
253,0.835459,0.751111,0.913611
254,0.835459,0.751111,0.914301
255,0.835459,0.751111,0.913873
256,0.835459,0.751111,0.911803
257,0.835459,0.751111,0.912800
258,0.835459,0.751111,0.911971
259,0.835459,0.751111,0.912807
260,0.835459,0.751111,0.913014
261,0.835459,0.751111,0.910862
262,0.835459,0.751111,0.913223
263,0.835459,0.751111,0.911756
264,0.835459,0.751111,0.912077
265,0.835459,0.751111,0.912317
266,0.835459,0.751111,0.911818
267,0.835459,0.751111,0.910910
268,0.835459,0.751111,0.910750
269,0.835459,0.751111,0.911827
270,0.835459,0.751111,0.911021
271,0.835459,0.751111,0.914752
272,0.835459,0.751111,0.911127
273,0.835459,0.751111,0.911272
274,0.835459,0.751111,0.910931
275,0.835459,0.751111,0.912310
276,0.835459,0.751111,0.912863
277,0.836735,0.751111,0.913253
278,0.836735,0.751111,0.913534
279,0.836735,0.751111,0.915499
280,0.836735,0.746667,0.914299
281,0.836735,0.746667,0.911634
282,0.836735,0.746667,0.911342
283,0.836735,0.746667,0.913113
284,0.836735,0.746667,0.911130
285,0.836735,0.746667,0.912175
286,0.836735,0.746667,0.914455
287,0.836735,0.746667,0.912691
288,0.836735,0.746667,0.911602
289,0.836735,0.746667,0.913615
290,0.836735,0.746667,0.914656
291,0.836735,0.746667,0.913581
292,0.836735,0.746667,0.911097
293,0.836735,0.746667,0.912773
294,0.836735,0.746667,0.912895
295,0.836735,0.746667,0.912305
296,0.836735,0.746667,0.912815
297,0.836735,0.746667,0.912826
298,0.836735,0.746667,0.913833
299,0.836735,0.746667,0.912553
300,0.836735,0.746667,0.911731
301,0.836735,0.746667,0.914059
302,0.836735,0.746667,0.912100
303,0.836735,0.746667,0.913716
304,0.836735,0.746667,0.912661
305,0.836735,0.746667,0.912950
306,0.836735,0.746667,0.913928
307,0.836735,0.746667,0.912636
308,0.836735,0.746667,0.913391
309,0.836735,0.746667,0.912664
310,0.836735,0.746667,0.911673
311,0.836735,0.746667,0.913884
312,0.836735,0.746667,0.915096
313,0.836735,0.746667,0.913174
314,0.836735,0.746667,0.911377
315,0.836735,0.746667,0.913677
316,0.836735,0.746667,0.912822
317,0.836735,0.746667,0.913302
318,0.836735,0.746667,0.914897
319,0.836735,0.746667,0.912645
320,0.836735,0.746667,0.913500
321,0.836735,0.746667,0.912079
322,0.836735,0.746667,0.914174
323,0.836735,0.746667,0.912788
324,0.836735,0.746667,0.912134
325,0.836735,0.746667,0.911843
326,0.836735,0.746667,0.912755
327,0.836735,0.746667,0.912971
328,0.836735,0.746667,0.912098
329,0.836735,0.746667,0.911994
330,0.836735,0.746667,0.913278
331,0.836735,0.746667,0.914397
332,0.836735,0.746667,0.911519
333,0.836735,0.746667,0.912818
334,0.836735,0.746667,0.914086
335,0.836735,0.746667,0.912819
336,0.836735,0.746667,0.912914
337,0.836735,0.746667,0.912096
338,0.836735,0.746667,0.911714
339,0.836735,0.746667,0.913613
340,0.838010,0.746667,0.912817
341,0.838010,0.746667,0.914719
342,0.838010,0.746667,0.912817
343,0.838010,0.746667,0.915517
344,0.838010,0.746667,0.912948
345,0.838010,0.746667,0.913027
346,0.838010,0.746667,0.913064
347,0.838010,0.746667,0.914171
348,0.838010,0.746667,0.912068
349,0.838010,0.746667,0.912464
350,0.838010,0.746667,0.911620
351,0.838010,0.746667,0.915538
352,0.838010,0.746667,0.915029
353,0.838010,0.746667,0.911911
354,0.838010,0.746667,0.913602
355,0.838010,0.746667,0.911775
356,0.838010,0.746667,0.912731
357,0.838010,0.746667,0.912110
358,0.838010,0.746667,0.915346
359,0.838010,0.746667,0.911792
360,0.838010,0.746667,0.914189
361,0.838010,0.746667,0.914399
362,0.838010,0.746667,0.911645
363,0.838010,0.746667,0.912964
364,0.838010,0.746667,0.912893
365,0.838010,0.746667,0.912990
366,0.838010,0.746667,0.912698
367,0.838010,0.746667,0.913445
368,0.838010,0.746667,0.914819
369,0.838010,0.746667,0.912145
370,0.838010,0.746667,0.913208
371,0.838010,0.746667,0.914300
372,0.838010,0.746667,0.916159
373,0.838010,0.746667,0.911904
374,0.838010,0.746667,0.913107
375,0.838010,0.746667,0.912323
376,0.838010,0.746667,0.913376
377,0.838010,0.746667,0.913425
378,0.838010,0.746667,0.912317
379,0.838010,0.746667,0.913015
380,0.838010,0.746667,0.913538
381,0.838010,0.746667,0.912939
382,0.838010,0.746667,0.913576
383,0.838010,0.746667,0.913107
384,0.838010,0.746667,0.915939
385,0.838010,0.746667,0.914661
386,0.838010,0.746667,0.912783
387,0.838010,0.746667,0.915033
388,0.838010,0.746667,0.912437
389,0.838010,0.746667,0.913303
390,0.838010,0.746667,0.912964
391,0.838010,0.746667,0.913649
392,0.838010,0.746667,0.913009
393,0.838010,0.746667,0.911948
394,0.838010,0.746667,0.912175
395,0.838010,0.746667,0.914708
396,0.838010,0.746667,0.912510
397,0.838010,0.746667,0.914288
