epoch,train_acc,test_acc
0,0.036990,0.026667
1,0.036990,0.031111
2,0.047194,0.040000
3,0.082908,0.066667
4,0.155612,0.102222
5,0.224490,0.160000
6,0.297194,0.235556
7,0.357143,0.306667
8,0.399235,0.315556
9,0.420918,0.337778
10,0.441327,0.355556
11,0.451531,0.360000
12,0.463010,0.368889
13,0.471939,0.373333
14,0.482143,0.391111
15,0.489796,0.395556
16,0.491071,0.404444
17,0.494898,0.404444
18,0.503827,0.404444
19,0.507653,0.413333
20,0.508929,0.417778
21,0.508929,0.426667
22,0.508929,0.426667
23,0.510204,0.431111
24,0.510204,0.431111
25,0.512755,0.431111
26,0.512755,0.431111
27,0.512755,0.431111
28,0.515306,0.431111
29,0.516582,0.431111
30,0.521684,0.431111
31,0.519133,0.435556
32,0.521684,0.435556
33,0.524235,0.435556
34,0.525510,0.448889
35,0.530612,0.457778
36,0.534439,0.462222
37,0.536990,0.466667
38,0.536990,0.471111
39,0.536990,0.471111
40,0.542092,0.471111
41,0.543367,0.471111
42,0.543367,0.475556
43,0.545918,0.480000
44,0.548469,0.480000
45,0.548469,0.480000
46,0.553571,0.488889
47,0.556122,0.488889
48,0.554847,0.488889
49,0.554847,0.493333
50,0.554847,0.493333
51,0.556122,0.493333
52,0.558673,0.493333
53,0.561224,0.497778
54,0.562500,0.502222
55,0.563776,0.502222
56,0.563776,0.502222
57,0.563776,0.506667
58,0.565051,0.506667
59,0.563776,0.506667
60,0.563776,0.511111
61,0.563776,0.506667
62,0.563776,0.511111
63,0.566327,0.524444
64,0.566327,0.528889
65,0.567602,0.528889
66,0.570153,0.528889
67,0.570153,0.528889
68,0.572704,0.528889
69,0.572704,0.528889
70,0.575255,0.528889
71,0.575255,0.528889
72,0.575255,0.528889
73,0.573980,0.528889
74,0.572704,0.533333
75,0.575255,0.533333
76,0.573980,0.528889
77,0.575255,0.528889
78,0.577806,0.528889
79,0.577806,0.533333
80,0.579082,0.533333
81,0.579082,0.533333
82,0.580357,0.533333
83,0.580357,0.533333
84,0.582908,0.533333
85,0.584184,0.533333
86,0.585459,0.533333
87,0.586735,0.533333
88,0.589286,0.537778
89,0.589286,0.537778
90,0.590561,0.537778
91,0.590561,0.537778
92,0.590561,0.537778
93,0.591837,0.542222
94,0.591837,0.542222
95,0.593112,0.546667
96,0.594388,0.546667
97,0.593112,0.546667
98,0.593112,0.546667
99,0.593112,0.546667
100,0.593112,0.546667
101,0.593112,0.551111
102,0.594388,0.551111
103,0.594388,0.551111
104,0.594388,0.551111
105,0.594388,0.551111
106,0.595663,0.551111
107,0.598214,0.555556
108,0.598214,0.555556
109,0.602041,0.555556
110,0.603316,0.555556
111,0.603316,0.555556
112,0.604592,0.555556
113,0.604592,0.555556
114,0.605867,0.555556
115,0.605867,0.555556
116,0.605867,0.555556
117,0.607143,0.555556
118,0.607143,0.555556
119,0.608418,0.560000
120,0.608418,0.560000
121,0.609694,0.560000
122,0.609694,0.560000
123,0.609694,0.560000
124,0.609694,0.560000
125,0.609694,0.560000
126,0.609694,0.560000
127,0.609694,0.560000
128,0.608418,0.560000
129,0.608418,0.560000
130,0.608418,0.560000
131,0.608418,0.560000
132,0.609694,0.560000
133,0.609694,0.560000
134,0.612245,0.560000
135,0.612245,0.560000
136,0.612245,0.560000
137,0.612245,0.560000
138,0.613520,0.560000
139,0.613520,0.560000
140,0.613520,0.560000
141,0.613520,0.564444
142,0.613520,0.564444
143,0.614796,0.564444
144,0.616071,0.564444
145,0.616071,0.564444
146,0.617347,0.564444
147,0.616071,0.564444
148,0.616071,0.564444
149,0.616071,0.564444
150,0.617347,0.564444
151,0.618622,0.564444
152,0.618622,0.564444
153,0.618622,0.564444
154,0.618622,0.564444
155,0.618622,0.564444
156,0.618622,0.564444
157,0.618622,0.568889
158,0.619898,0.568889
159,0.619898,0.568889
160,0.621173,0.568889
161,0.621173,0.568889
162,0.621173,0.568889
163,0.621173,0.568889
164,0.621173,0.573333
165,0.621173,0.573333
166,0.621173,0.573333
167,0.621173,0.573333
168,0.622449,0.582222
169,0.622449,0.582222
170,0.622449,0.582222
171,0.621173,0.582222
172,0.621173,0.582222
173,0.622449,0.582222
174,0.623724,0.582222
175,0.625000,0.582222
176,0.627551,0.582222
177,0.628827,0.582222
178,0.630102,0.582222
179,0.630102,0.582222
180,0.630102,0.582222
181,0.630102,0.582222
