epoch,train_acc,test_acc,train_pos_prob
0,0.036990,0.026667,0.124151
1,0.036990,0.040000,0.124923
2,0.057398,0.048889,0.144962
3,0.122449,0.080000,0.186483
4,0.210459,0.137778,0.255705
5,0.308673,0.248889,0.346676
6,0.394133,0.324444,0.442705
7,0.436224,0.368889,0.520659
8,0.470663,0.391111,0.582048
9,0.501276,0.435556,0.626171
10,0.514031,0.471111,0.655209
11,0.530612,0.493333,0.678470
12,0.542092,0.506667,0.692955
13,0.559949,0.520000,0.706054
14,0.572704,0.537778,0.715986
15,0.588010,0.555556,0.722796
16,0.595663,0.573333,0.730841
17,0.603316,0.573333,0.732977
18,0.612245,0.577778,0.738397
19,0.630102,0.586667,0.743150
20,0.651786,0.595556,0.745586
21,0.667092,0.617778,0.749962
22,0.678571,0.635556,0.752896
23,0.691327,0.648889,0.758083
24,0.701531,0.648889,0.761662
25,0.715561,0.648889,0.767004
26,0.724490,0.648889,0.773438
27,0.734694,0.666667,0.774707
28,0.746173,0.666667,0.777571
29,0.755102,0.671111,0.783166
30,0.757653,0.684444,0.787805
31,0.764031,0.684444,0.790827
32,0.779337,0.688889,0.793464
33,0.779337,0.688889,0.797200
34,0.783163,0.697778,0.799998
35,0.789541,0.697778,0.804678
36,0.790816,0.711111,0.808275
37,0.794643,0.715556,0.811330
38,0.798469,0.706667,0.813695
39,0.801020,0.715556,0.815123
40,0.804847,0.724444,0.817624
41,0.809949,0.733333,0.820944
42,0.813776,0.733333,0.822918
43,0.816327,0.728889,0.826427
44,0.822704,0.728889,0.826598
45,0.823980,0.733333,0.829212
46,0.827806,0.733333,0.832140
47,0.835459,0.733333,0.832241
48,0.838010,0.742222,0.833766
49,0.839286,0.742222,0.835722
50,0.840561,0.746667,0.841247
51,0.844388,0.746667,0.839719
52,0.845663,0.746667,0.839893
53,0.846939,0.751111,0.841386
54,0.848214,0.764444,0.842895
55,0.852041,0.764444,0.843862
56,0.852041,0.764444,0.845652
57,0.852041,0.764444,0.847170
58,0.854592,0.764444,0.848597
59,0.854592,0.768889,0.850830
60,0.855867,0.768889,0.851571
61,0.857143,0.768889,0.852481
62,0.857143,0.768889,0.853207
63,0.858418,0.768889,0.853791
64,0.858418,0.764444,0.856653
65,0.860969,0.764444,0.856781
66,0.860969,0.764444,0.856604
67,0.860969,0.764444,0.858228
68,0.863520,0.764444,0.860857
69,0.864796,0.764444,0.863262
70,0.867347,0.764444,0.861823
71,0.869898,0.764444,0.861865
72,0.871173,0.764444,0.860675
73,0.872449,0.768889,0.863410
74,0.873724,0.764444,0.866141
75,0.873724,0.764444,0.863967
76,0.875000,0.764444,0.864819
77,0.875000,0.764444,0.866783
78,0.875000,0.764444,0.865862
79,0.873724,0.764444,0.866478
80,0.873724,0.764444,0.867115
81,0.878827,0.764444,0.869205
82,0.878827,0.764444,0.869730
83,0.878827,0.768889,0.869496
84,0.878827,0.768889,0.871568
85,0.880102,0.768889,0.871212
86,0.880102,0.768889,0.870973
87,0.881378,0.768889,0.872217
88,0.881378,0.768889,0.872488
89,0.882653,0.768889,0.872372
90,0.882653,0.768889,0.872537
91,0.882653,0.768889,0.872355
92,0.882653,0.764444,0.877070
93,0.882653,0.764444,0.874463
94,0.881378,0.768889,0.874775
95,0.882653,0.768889,0.873557
96,0.882653,0.768889,0.875553
97,0.882653,0.768889,0.877045
98,0.882653,0.768889,0.874641
99,0.882653,0.768889,0.876669
100,0.882653,0.768889,0.877114
101,0.882653,0.768889,0.877004
102,0.883929,0.768889,0.876537
103,0.882653,0.768889,0.877355
104,0.882653,0.768889,0.877035
105,0.883929,0.773333,0.879124
106,0.883929,0.773333,0.879845
107,0.883929,0.773333,0.878986
108,0.883929,0.777778,0.880331
109,0.883929,0.777778,0.880414
110,0.883929,0.777778,0.879937
111,0.883929,0.777778,0.880986
112,0.885204,0.777778,0.880606
113,0.887755,0.777778,0.879892
114,0.887755,0.777778,0.880414
115,0.889031,0.777778,0.881406
116,0.889031,0.777778,0.882019
117,0.889031,0.782222,0.880100
118,0.889031,0.782222,0.881260
119,0.889031,0.782222,0.881403
120,0.889031,0.786667,0.881907
121,0.889031,0.786667,0.882613
122,0.889031,0.786667,0.883336
123,0.889031,0.786667,0.883344
124,0.889031,0.786667,0.883310
125,0.889031,0.786667,0.884330
126,0.889031,0.786667,0.884977
127,0.889031,0.786667,0.883618
128,0.889031,0.786667,0.884162
129,0.889031,0.786667,0.883653
130,0.889031,0.786667,0.885745
131,0.889031,0.786667,0.884404
132,0.889031,0.786667,0.883820
133,0.889031,0.786667,0.885643
134,0.889031,0.786667,0.883854
135,0.889031,0.786667,0.883844
136,0.890306,0.786667,0.886335
137,0.890306,0.786667,0.884514
138,0.891582,0.786667,0.883726
139,0.892857,0.786667,0.886877
140,0.892857,0.786667,0.887473
141,0.892857,0.786667,0.885749
142,0.892857,0.786667,0.885833
143,0.892857,0.786667,0.885035
144,0.892857,0.786667,0.886973
145,0.892857,0.786667,0.885969
146,0.892857,0.786667,0.885102
147,0.892857,0.786667,0.885929
148,0.892857,0.786667,0.888815
149,0.892857,0.786667,0.886090
150,0.892857,0.786667,0.886955
151,0.892857,0.786667,0.886665
152,0.894133,0.786667,0.885494
153,0.894133,0.786667,0.887139
154,0.894133,0.786667,0.887423
155,0.894133,0.786667,0.886865
156,0.894133,0.786667,0.885952
157,0.894133,0.786667,0.887038
158,0.892857,0.786667,0.888346
159,0.894133,0.786667,0.888645
160,0.892857,0.782222,0.888073
161,0.892857,0.782222,0.888491
162,0.891582,0.782222,0.888226
163,0.892857,0.782222,0.889152
164,0.892857,0.782222,0.888589
165,0.892857,0.782222,0.887208
166,0.892857,0.782222,0.888153
167,0.892857,0.782222,0.890952
168,0.892857,0.782222,0.888889
169,0.892857,0.782222,0.888405
170,0.892857,0.782222,0.889372
171,0.892857,0.782222,0.888606
172,0.892857,0.782222,0.889501
173,0.892857,0.782222,0.890738
174,0.892857,0.782222,0.890998
175,0.892857,0.782222,0.888541
176,0.892857,0.782222,0.889303
177,0.892857,0.782222,0.890547
178,0.892857,0.782222,0.890365
179,0.892857,0.782222,0.890072
180,0.892857,0.782222,0.891127
181,0.892857,0.782222,0.890116
182,0.892857,0.782222,0.890435
183,0.892857,0.782222,0.889453
184,0.892857,0.782222,0.891456
185,0.892857,0.782222,0.889624
186,0.892857,0.782222,0.889263
187,0.892857,0.782222,0.890773
188,0.892857,0.782222,0.890384
189,0.892857,0.782222,0.890565
190,0.892857,0.782222,0.890888
191,0.892857,0.782222,0.890336
192,0.892857,0.782222,0.892292
193,0.894133,0.782222,0.892309
194,0.894133,0.782222,0.889699
195,0.894133,0.782222,0.889568
196,0.894133,0.782222,0.890604
197,0.894133,0.782222,0.889648
198,0.894133,0.786667,0.889955
199,0.894133,0.786667,0.894894
200,0.894133,0.786667,0.889716
