epoch,train_acc,test_acc,train_pos_prob
0,0.036990,0.026667,0.124151
1,0.385204,0.306667,0.380399
2,0.654337,0.631111,0.761663
3,0.728316,0.657778,0.844683
4,0.755102,0.675556,0.878258
5,0.761480,0.684444,0.896537
6,0.757653,0.680000,0.907787
7,0.762755,0.671111,0.916979
8,0.752551,0.680000,0.926587
9,0.751276,0.657778,0.935753
10,0.738520,0.671111,0.942698
11,0.742347,0.662222,0.947374
12,0.748724,0.675556,0.950179
13,0.738520,0.675556,0.952016
14,0.751276,0.666667,0.952944
15,0.737245,0.671111,0.955291
16,0.757653,0.666667,0.957549
17,0.765306,0.666667,0.956827
18,0.756378,0.657778,0.958220
19,0.758929,0.653333,0.960936
20,0.751276,0.640000,0.961187
21,0.756378,0.644444,0.960624
22,0.748724,0.653333,0.961587
23,0.748724,0.653333,0.963106
24,0.748724,0.644444,0.965300
25,0.758929,0.644444,0.967082
26,0.756378,0.644444,0.967464
27,0.748724,0.648889,0.967568
28,0.765306,0.635556,0.967994
29,0.769133,0.635556,0.969604
30,0.752551,0.640000,0.969405
31,0.748724,0.648889,0.970121
32,0.746173,0.657778,0.969314
33,0.758929,0.653333,0.969599
34,0.762755,0.648889,0.970217
35,0.760204,0.644444,0.971932
36,0.750000,0.640000,0.970964
37,0.746173,0.640000,0.971323
38,0.752551,0.644444,0.972950
39,0.751276,0.640000,0.973277
40,0.756378,0.640000,0.973738
41,0.762755,0.640000,0.974077
42,0.762755,0.635556,0.972774
43,0.758929,0.644444,0.973800
44,0.742347,0.640000,0.972482
45,0.756378,0.626667,0.972237
46,0.766582,0.635556,0.975072
47,0.767857,0.635556,0.972374
48,0.769133,0.635556,0.972601
49,0.758929,0.626667,0.972825
50,0.752551,0.631111,0.977007
51,0.744898,0.635556,0.974693
52,0.755102,0.635556,0.973752
53,0.756378,0.631111,0.975107
54,0.757653,0.631111,0.973748
55,0.765306,0.631111,0.973704
56,0.752551,0.635556,0.973747
57,0.751276,0.635556,0.973961
58,0.762755,0.635556,0.975174
59,0.764031,0.635556,0.973995
60,0.767857,0.635556,0.975490
61,0.756378,0.631111,0.975582
62,0.758929,0.626667,0.976520
