epoch,train_acc,test_acc
0,0.079967,0.077700
1,0.647233,0.654400
2,0.953000,0.950000
3,0.973067,0.968000
4,0.975433,0.968500
5,0.982217,0.974000
6,0.980050,0.970600
7,0.982217,0.972500
8,0.981000,0.969400
9,0.984833,0.974600
10,0.984250,0.971500
11,0.979100,0.967000
12,0.985133,0.975200
13,0.975633,0.964500
14,0.979417,0.971700
15,0.984583,0.974300
16,0.986683,0.978200
17,0.984583,0.972300
18,0.984583,0.973000
19,0.979017,0.967500
20,0.986617,0.977100
21,0.984417,0.973100
22,0.984283,0.974800
23,0.986783,0.977800
24,0.985033,0.973800
25,0.987783,0.976900
26,0.984967,0.973100
27,0.988167,0.978300
28,0.984883,0.973100
29,0.987050,0.977800
30,0.988167,0.975900
31,0.987383,0.977700
32,0.988000,0.979700
33,0.988400,0.977600
34,0.989150,0.977100
35,0.988133,0.980100
36,0.987983,0.977300
37,0.987500,0.977000
38,0.983633,0.970100
39,0.989433,0.978600
40,0.988800,0.976500
41,0.988917,0.977000
42,0.991900,0.976600
43,0.989383,0.979100
44,0.985700,0.973700
45,0.991467,0.979200
46,0.991733,0.981500
47,0.991200,0.980100
48,0.991450,0.979200
49,0.988233,0.975300
50,0.993050,0.979400
51,0.991300,0.979600
52,0.991550,0.979500
53,0.992267,0.982400
54,0.988183,0.976900
55,0.990783,0.977500
56,0.992383,0.979000
57,0.989417,0.975600
58,0.991617,0.978800
59,0.992250,0.977400
60,0.993583,0.981900
61,0.992050,0.979400
62,0.994217,0.981000
63,0.990333,0.976600
64,0.992667,0.978700
65,0.994600,0.981700
66,0.989833,0.979100
67,0.994833,0.981000
68,0.994350,0.983700
69,0.993967,0.981500
70,0.993417,0.979300
71,0.994983,0.983400
72,0.994617,0.982500
73,0.994833,0.982000
74,0.993367,0.980400
75,0.994800,0.981400
76,0.993100,0.978100
77,0.994583,0.981700
78,0.994867,0.979900
79,0.994400,0.979800
80,0.994883,0.981600
81,0.995050,0.979700
82,0.993833,0.977700
83,0.994550,0.981500
84,0.996100,0.982200
85,0.994683,0.981700
86,0.994983,0.981400
87,0.995267,0.981500
88,0.996200,0.982800
89,0.995450,0.982100
90,0.996767,0.983000
91,0.995817,0.982400
92,0.996117,0.982800
93,0.996533,0.984400
94,0.994483,0.981000
95,0.996617,0.981000
96,0.996383,0.982600
97,0.996000,0.981900
98,0.996183,0.983100
99,0.996933,0.983500
100,0.996467,0.980400
101,0.995950,0.981800
102,0.996900,0.983400
103,0.996367,0.982600
104,0.997250,0.984300
105,0.996133,0.982900
106,0.994800,0.979300
107,0.997283,0.983700
108,0.997083,0.982700
109,0.996450,0.980900
110,0.997700,0.985600
111,0.997767,0.984900
112,0.997500,0.983500
113,0.997967,0.985500
114,0.997700,0.984500
115,0.997617,0.986100
116,0.996533,0.982300
117,0.997350,0.983100
118,0.997300,0.983700
119,0.995667,0.983500
120,0.997900,0.985700
121,0.997433,0.986000
122,0.998033,0.984500
123,0.998117,0.985700
124,0.994917,0.982900
125,0.997917,0.986500
126,0.998250,0.988400
