epoch,train_acc,test_acc
0,0.079967,0.077700
1,0.951683,0.953300
2,0.952067,0.943600
3,0.964467,0.957200
4,0.968300,0.963900
5,0.971633,0.967600
6,0.972200,0.967200
7,0.976450,0.967100
8,0.960483,0.949000
9,0.974100,0.968200
10,0.962283,0.954100
11,0.970333,0.962600
12,0.967350,0.962800
13,0.973483,0.967200
14,0.975833,0.968500
15,0.981117,0.971800
16,0.971833,0.964000
17,0.974483,0.966000
18,0.973517,0.966400
19,0.974933,0.968600
20,0.978433,0.973500
21,0.967917,0.960000
22,0.975667,0.965400
23,0.974067,0.965400
24,0.974950,0.966900
25,0.955967,0.946000
26,0.951383,0.941200
27,0.981850,0.974100
28,0.967633,0.955700
29,0.971650,0.962800
30,0.978483,0.970800
31,0.979817,0.967000
32,0.957317,0.948000
33,0.974700,0.963800
34,0.980700,0.969500
35,0.981050,0.975000
36,0.964750,0.956600
37,0.979467,0.972900
38,0.970933,0.964700
39,0.974433,0.964000
40,0.982300,0.971100
41,0.974250,0.961100
42,0.974633,0.966400
43,0.982200,0.975700
44,0.979067,0.969700
45,0.982450,0.975000
46,0.978583,0.966400
47,0.985050,0.974700
48,0.971550,0.961200
49,0.981000,0.969400
50,0.964167,0.953300
51,0.983033,0.974100
52,0.968883,0.959400
53,0.973583,0.963700
54,0.982183,0.972900
55,0.978083,0.968100
56,0.979500,0.965700
57,0.981767,0.972600
58,0.980600,0.970000
59,0.972133,0.961300
60,0.961150,0.948500
61,0.971583,0.959000
62,0.982817,0.968700
63,0.986383,0.977300
64,0.983733,0.971800
65,0.957083,0.946000
66,0.975867,0.966700
67,0.948000,0.940100
68,0.955867,0.939900
69,0.957150,0.944700
70,0.958267,0.945600
71,0.964317,0.956600
72,0.954167,0.944100
73,0.971250,0.956700
74,0.962100,0.948800
75,0.973133,0.959600
76,0.972433,0.962500
77,0.982350,0.970100
78,0.987867,0.974800
79,0.959200,0.949200
80,0.971617,0.961400
81,0.964933,0.952800
82,0.932133,0.920300
83,0.919000,0.906500
84,0.977150,0.965000
85,0.978483,0.963700
86,0.953800,0.944800
87,0.968733,0.960100
88,0.986817,0.972900
89,0.976567,0.965300
90,0.972150,0.961400
91,0.977967,0.965500
92,0.967100,0.956800
93,0.963800,0.955800
94,0.934500,0.924500
