epoch,train_acc,test_acc,train_pos_prob
0,0.079967,0.077700,0.197169
1,0.906533,0.909600,0.887703
2,0.968850,0.965700,0.969464
3,0.979317,0.970200,0.980623
4,0.984933,0.978600,0.986218
5,0.988617,0.980000,0.990272
6,0.990850,0.980200,0.991945
7,0.991917,0.979400,0.993378
8,0.992500,0.978000,0.993698
9,0.993483,0.980300,0.995132
10,0.993733,0.982200,0.995301
11,0.993100,0.980500,0.994995
12,0.994467,0.981200,0.996025
13,0.994200,0.982000,0.995881
14,0.994183,0.981000,0.995722
15,0.994567,0.980600,0.996377
16,0.993650,0.980100,0.995520
17,0.994200,0.981800,0.996126
18,0.992750,0.979600,0.994718
19,0.994150,0.981700,0.995973
20,0.994333,0.982300,0.996144
21,0.993683,0.979600,0.995446
22,0.993883,0.979900,0.995973
23,0.993217,0.978900,0.995269
24,0.994383,0.980700,0.996278
25,0.993150,0.978000,0.994696
26,0.993967,0.979100,0.995447
27,0.993500,0.980100,0.995567
28,0.994617,0.980800,0.996409
29,0.993800,0.980100,0.995311
30,0.994333,0.981900,0.996180
31,0.994567,0.980400,0.996200
32,0.993733,0.980700,0.995461
33,0.995067,0.979300,0.996849
34,0.994850,0.981700,0.996821
35,0.994417,0.980300,0.996069
36,0.994483,0.979600,0.996283
37,0.994283,0.979500,0.996155
38,0.994550,0.982700,0.996364
39,0.994000,0.979200,0.995824
40,0.994950,0.980800,0.996700
41,0.996083,0.982300,0.998052
42,0.996100,0.982700,0.998139
43,0.996467,0.984000,0.998304
44,0.996450,0.983600,0.998463
45,0.996400,0.985300,0.998389
46,0.996200,0.982900,0.997966
47,0.995133,0.983100,0.997026
48,0.996083,0.981800,0.998041
49,0.996250,0.982700,0.998086
50,0.996200,0.985000,0.998118
51,0.996383,0.982400,0.998454
52,0.996650,0.982600,0.998476
53,0.996633,0.983500,0.998565
54,0.996083,0.984500,0.997993
55,0.996467,0.983200,0.998296
56,0.996750,0.984600,0.998698
57,0.996533,0.983800,0.998596
58,0.996483,0.983000,0.998341
59,0.996583,0.983000,0.998524
60,0.996533,0.983400,0.998601
61,0.994200,0.981400,0.996455
62,0.996483,0.984400,0.998374
63,0.996250,0.983900,0.998216
64,0.996167,0.983100,0.998249
65,0.996883,0.984400,0.998989
66,0.996750,0.984100,0.998876
67,0.997017,0.985200,0.999281
68,0.996750,0.984800,0.998880
69,0.996850,0.985500,0.999015
70,0.997150,0.985100,0.999266
71,0.996633,0.984200,0.998664
72,0.996600,0.983500,0.998555
73,0.996100,0.982600,0.998169
74,0.997283,0.986200,0.999464
75,0.995933,0.983400,0.997971
76,0.996883,0.983900,0.998886
77,0.997000,0.984000,0.999089
78,0.996883,0.985200,0.998988
79,0.996533,0.982100,0.998491
80,0.996100,0.982900,0.998326
81,0.997183,0.983300,0.999362
82,0.997333,0.984900,0.999480
83,0.996933,0.984200,0.999173
84,0.997367,0.985800,0.999577
85,0.997400,0.986700,0.999637
86,0.997467,0.986300,0.999676
87,0.997400,0.986400,0.999606
88,0.997383,0.987100,0.999537
89,0.997450,0.987500,0.999690
90,0.997433,0.987500,0.999627
91,0.997433,0.987600,0.999656
92,0.997417,0.986900,0.999591
93,0.997500,0.987300,0.999730
94,0.997467,0.987300,0.999733
95,0.997083,0.986800,0.999186
96,0.997100,0.984200,0.999012
97,0.995167,0.981500,0.996923
98,0.996333,0.983400,0.998204
99,0.995900,0.983000,0.997757
100,0.997017,0.985400,0.999082
101,0.997350,0.986000,0.999443
102,0.997317,0.986500,0.999538
103,0.997517,0.987000,0.999713
104,0.997500,0.987500,0.999710
105,0.997517,0.986600,0.999726
106,0.997483,0.986500,0.999685
107,0.997550,0.987000,0.999750
108,0.997550,0.987000,0.999747
109,0.997550,0.987500,0.999750
110,0.997500,0.987800,0.999703
111,0.997550,0.987600,0.999749
112,0.997533,0.986800,0.999736
113,0.997550,0.987000,0.999744
114,0.997500,0.987900,0.999666
115,0.997550,0.987100,0.999747
116,0.997550,0.987200,0.999753
117,0.997567,0.987900,0.999758
118,0.997567,0.987200,0.999761
119,0.997567,0.987500,0.999766
120,0.997583,0.987300,0.999780
121,0.997583,0.986900,0.999779
122,0.997583,0.987500,0.999779
123,0.997583,0.987200,0.999778
124,0.997583,0.987700,0.999781
125,0.997583,0.987000,0.999772
126,0.997583,0.986400,0.999734
127,0.997583,0.987400,0.999768
128,0.997467,0.985900,0.999589
129,0.996867,0.982600,0.998542
130,0.995217,0.980200,0.996488
131,0.996183,0.984500,0.997889
132,0.996733,0.984200,0.998656
133,0.997233,0.985300,0.999299
134,0.997533,0.987300,0.999682
135,0.997550,0.987100,0.999726
136,0.997550,0.988300,0.999760
137,0.997550,0.987300,0.999767
138,0.997567,0.987100,0.999791
139,0.997567,0.987100,0.999791
