epoch,train_acc,test_acc,train_pos_prob
0,0.079967,0.077700,0.198040
1,0.977017,0.971000,0.940224
2,0.980817,0.969900,0.954225
3,0.985883,0.973500,0.966890
4,0.988417,0.978500,0.974636
5,0.992100,0.981300,0.981380
6,0.989167,0.976700,0.973203
7,0.989500,0.974900,0.977124
8,0.990333,0.976500,0.977822
9,0.991667,0.978400,0.984203
10,0.988467,0.973500,0.976680
11,0.991200,0.977300,0.980711
12,0.987950,0.973700,0.978960
13,0.989433,0.976100,0.978723
14,0.991567,0.976000,0.981957
15,0.990183,0.974000,0.979168
16,0.990783,0.975300,0.981387
17,0.993217,0.980700,0.985502
18,0.990133,0.975200,0.981682
19,0.991967,0.982100,0.983665
20,0.992717,0.976400,0.983604
21,0.992700,0.980300,0.983994
22,0.993117,0.978200,0.985160
23,0.992250,0.977700,0.982733
24,0.992433,0.976100,0.984707
25,0.991850,0.977400,0.983912
26,0.991150,0.976000,0.984150
27,0.992800,0.978800,0.985777
28,0.994817,0.980900,0.989332
29,0.991733,0.976100,0.983907
30,0.994300,0.980800,0.988146
31,0.994633,0.979300,0.989386
32,0.994717,0.980100,0.989584
33,0.991817,0.976400,0.984285
34,0.992300,0.975600,0.984739
35,0.993933,0.980500,0.988633
36,0.993633,0.980500,0.990176
37,0.994683,0.979700,0.990149
38,0.994367,0.981300,0.989549
39,0.994533,0.980100,0.990031
40,0.995783,0.982600,0.991677
41,0.993400,0.978900,0.989364
42,0.991783,0.979300,0.983882
43,0.995283,0.979900,0.990483
44,0.995150,0.982200,0.989859
45,0.994767,0.980900,0.991122
46,0.994917,0.980600,0.990698
47,0.995133,0.980700,0.990365
48,0.990517,0.976400,0.985030
49,0.992767,0.981200,0.985094
50,0.996367,0.982300,0.992717
51,0.994800,0.981900,0.990412
52,0.993683,0.981900,0.989068
53,0.994850,0.981700,0.989991
54,0.995267,0.981500,0.991892
55,0.995033,0.981100,0.991338
56,0.995383,0.980700,0.991062
57,0.994500,0.977700,0.988456
58,0.994600,0.981100,0.991132
59,0.995117,0.981700,0.991930
60,0.996717,0.983700,0.994108
61,0.997167,0.985700,0.995482
62,0.995267,0.983400,0.992000
63,0.994967,0.981400,0.989108
64,0.993350,0.979200,0.987733
65,0.995850,0.982800,0.993049
66,0.993683,0.980100,0.990264
67,0.997133,0.984500,0.995014
68,0.992000,0.978000,0.988209
69,0.994267,0.979500,0.989838
70,0.996433,0.983000,0.994287
71,0.996600,0.982700,0.994118
72,0.994400,0.980000,0.990514
73,0.996050,0.982000,0.992977
74,0.996500,0.982600,0.993379
